;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;60;103;gbtree;0.3332;0.7922;-0.4
1;256;114;gbtree;0.8489;0.6232;-0.45
2;256;114;gbtree;0.8489;0.6232;-0.45
3;256;114;gbtree;0.8489;0.6232;-0.45
4;256;114;gbtree;0.8489;0.6232;-0.45
5;256;114;gbtree;0.8489;0.6232;-0.45
6;256;114;gbtree;0.8489;0.6232;-0.45
7;256;114;gbtree;0.8489;0.6232;-0.45
8;256;114;gbtree;0.8489;0.6232;-0.45
9;256;114;gbtree;0.8489;0.6232;-0.45
10;256;114;gbtree;0.8489;0.6232;-0.45
11;256;114;gbtree;0.8489;0.6232;-0.45
12;256;114;gbtree;0.8489;0.6232;-0.45
13;256;114;gbtree;0.8489;0.6232;-0.45
14;256;114;gbtree;0.8489;0.6232;-0.45
