;Hidden Layers;Alpha;Activation;Fitness
0;337;0.16;tanh;-0.35
1;337;0.16;tanh;-0.35
2;337;0.16;tanh;-0.35
3;337;0.16;tanh;-0.35
4;162;0.23;tanh;-0.375
5;162;0.23;tanh;-0.375
6;162;0.23;tanh;-0.375
7;162;0.23;tanh;-0.375
8;162;0.23;tanh;-0.375
9;162;0.23;tanh;-0.375
10;162;0.23;tanh;-0.375
11;162;0.23;tanh;-0.375
12;162;0.23;tanh;-0.375
13;162;0.23;tanh;-0.375
14;162;0.23;tanh;-0.375
15;162;0.23;tanh;-0.375
16;162;0.23;tanh;-0.375
17;162;0.23;tanh;-0.375
18;162;0.23;tanh;-0.375
19;162;0.23;tanh;-0.375
20;162;0.23;tanh;-0.375
21;162;0.23;tanh;-0.375
22;162;0.23;tanh;-0.375
23;162;0.23;tanh;-0.375
24;162;0.23;tanh;-0.375
25;162;0.23;tanh;-0.375
26;162;0.23;tanh;-0.375
27;162;0.23;tanh;-0.375
28;162;0.23;tanh;-0.375
29;162;0.23;tanh;-0.375
30;162;0.23;tanh;-0.375
31;162;0.23;tanh;-0.375
32;162;0.23;tanh;-0.375
33;162;0.23;tanh;-0.375
34;162;0.23;tanh;-0.375
35;162;0.23;tanh;-0.375
36;162;0.23;tanh;-0.375
37;162;0.23;tanh;-0.375
38;162;0.23;tanh;-0.375
39;162;0.23;tanh;-0.375
40;162;0.23;tanh;-0.375
41;162;0.23;tanh;-0.375
42;162;0.23;tanh;-0.375
43;162;0.23;tanh;-0.375
44;162;0.23;tanh;-0.375
45;162;0.23;tanh;-0.375
46;162;0.23;tanh;-0.375
47;162;0.23;tanh;-0.375
48;162;0.23;tanh;-0.375
49;162;0.23;tanh;-0.375
50;162;0.23;tanh;-0.375
51;162;0.23;tanh;-0.375
52;162;0.23;tanh;-0.375
53;162;0.23;tanh;-0.375
54;162;0.23;tanh;-0.375
55;162;0.23;tanh;-0.375
56;162;0.23;tanh;-0.375
57;162;0.23;tanh;-0.375
58;162;0.23;tanh;-0.375
59;162;0.23;tanh;-0.375
60;162;0.23;tanh;-0.375
61;162;0.23;tanh;-0.375
62;162;0.23;tanh;-0.375
63;162;0.23;tanh;-0.375
64;162;0.23;tanh;-0.375
65;162;0.23;tanh;-0.375
66;162;0.23;tanh;-0.375
67;162;0.23;tanh;-0.375
68;162;0.23;tanh;-0.375
69;162;0.23;tanh;-0.375
70;162;0.23;tanh;-0.375
71;162;0.23;tanh;-0.375
72;162;0.23;tanh;-0.375
73;162;0.23;tanh;-0.375
74;162;0.23;tanh;-0.375
75;162;0.23;tanh;-0.375
76;162;0.23;tanh;-0.375
77;162;0.23;tanh;-0.375
78;162;0.23;tanh;-0.375
79;162;0.23;tanh;-0.375
80;162;0.23;tanh;-0.375
81;162;0.23;tanh;-0.375
82;162;0.23;tanh;-0.375
83;162;0.23;tanh;-0.375
84;162;0.23;tanh;-0.375
85;162;0.23;tanh;-0.375
86;162;0.23;tanh;-0.375
87;162;0.23;tanh;-0.375
88;162;0.23;tanh;-0.375
89;162;0.23;tanh;-0.375
90;162;0.23;tanh;-0.375
91;162;0.23;tanh;-0.375
92;162;0.23;tanh;-0.375
93;162;0.23;tanh;-0.375
94;162;0.23;tanh;-0.375
95;162;0.23;tanh;-0.375
96;162;0.23;tanh;-0.375
97;162;0.23;tanh;-0.375
98;162;0.23;tanh;-0.375
99;162;0.23;tanh;-0.375
100;162;0.23;tanh;-0.375
101;162;0.23;tanh;-0.375
102;162;0.23;tanh;-0.375
103;162;0.23;tanh;-0.375
104;162;0.23;tanh;-0.375
105;162;0.23;tanh;-0.375
106;162;0.23;tanh;-0.375
107;162;0.23;tanh;-0.375
108;162;0.23;tanh;-0.375
109;162;0.23;tanh;-0.375
110;162;0.23;tanh;-0.375
111;162;0.23;tanh;-0.375
112;162;0.23;tanh;-0.375
113;162;0.23;tanh;-0.375
114;162;0.23;tanh;-0.375
115;162;0.23;tanh;-0.375
116;162;0.23;tanh;-0.375
117;162;0.23;tanh;-0.375
118;162;0.23;tanh;-0.375
119;162;0.23;tanh;-0.375
120;162;0.23;tanh;-0.375
121;162;0.23;tanh;-0.375
122;162;0.23;tanh;-0.375
123;162;0.23;tanh;-0.375
124;162;0.23;tanh;-0.375
125;162;0.23;tanh;-0.375
126;162;0.23;tanh;-0.375
127;162;0.23;tanh;-0.375
128;162;0.23;tanh;-0.375
129;162;0.23;tanh;-0.375
130;162;0.23;tanh;-0.375
131;162;0.23;tanh;-0.375
132;162;0.23;tanh;-0.375
133;162;0.23;tanh;-0.375
134;162;0.23;tanh;-0.375
135;162;0.23;tanh;-0.375
136;162;0.23;tanh;-0.375
137;162;0.23;tanh;-0.375
138;162;0.23;tanh;-0.375
139;162;0.23;tanh;-0.375
140;162;0.23;tanh;-0.375
141;162;0.23;tanh;-0.375
142;162;0.23;tanh;-0.375
143;162;0.23;tanh;-0.375
144;162;0.23;tanh;-0.375
145;162;0.23;tanh;-0.375
146;162;0.23;tanh;-0.375
147;162;0.23;tanh;-0.375
148;162;0.23;tanh;-0.375
149;162;0.23;tanh;-0.375
150;162;0.23;tanh;-0.375
151;162;0.23;tanh;-0.375
152;162;0.23;tanh;-0.375
153;162;0.23;tanh;-0.375
154;162;0.23;tanh;-0.375
155;162;0.23;tanh;-0.375
156;162;0.23;tanh;-0.375
157;162;0.23;tanh;-0.375
158;162;0.23;tanh;-0.375
159;162;0.23;tanh;-0.375
160;162;0.23;tanh;-0.375
161;162;0.23;tanh;-0.375
162;162;0.23;tanh;-0.375
163;162;0.23;tanh;-0.375
164;162;0.23;tanh;-0.375
165;162;0.23;tanh;-0.375
166;162;0.23;tanh;-0.375
167;162;0.23;tanh;-0.375
168;162;0.23;tanh;-0.375
169;162;0.23;tanh;-0.375
170;162;0.23;tanh;-0.375
171;162;0.23;tanh;-0.375
172;162;0.23;tanh;-0.375
173;162;0.23;tanh;-0.375
174;162;0.23;tanh;-0.375
175;162;0.23;tanh;-0.375
176;162;0.23;tanh;-0.375
177;162;0.23;tanh;-0.375
178;162;0.23;tanh;-0.375
179;162;0.23;tanh;-0.375
180;162;0.23;tanh;-0.375
181;162;0.23;tanh;-0.375
182;162;0.23;tanh;-0.375
183;162;0.23;tanh;-0.375
184;162;0.23;tanh;-0.375
185;162;0.23;tanh;-0.375
186;162;0.23;tanh;-0.375
187;162;0.23;tanh;-0.375
188;162;0.23;tanh;-0.375
189;162;0.23;tanh;-0.375
190;162;0.23;tanh;-0.375
191;162;0.23;tanh;-0.375
192;162;0.23;tanh;-0.375
193;162;0.23;tanh;-0.375
194;162;0.23;tanh;-0.375
195;162;0.23;tanh;-0.375
196;162;0.23;tanh;-0.375
197;162;0.23;tanh;-0.375
198;162;0.23;tanh;-0.375
199;162;0.23;tanh;-0.375
200;162;0.23;tanh;-0.375
201;162;0.23;tanh;-0.375
202;162;0.23;tanh;-0.375
203;162;0.23;tanh;-0.375
204;162;0.23;tanh;-0.375
205;162;0.23;tanh;-0.375
206;162;0.23;tanh;-0.375
207;162;0.23;tanh;-0.375
208;162;0.23;tanh;-0.375
209;162;0.23;tanh;-0.375
210;162;0.23;tanh;-0.375
211;162;0.23;tanh;-0.375
212;162;0.23;tanh;-0.375
213;162;0.23;tanh;-0.375
214;162;0.23;tanh;-0.375
215;162;0.23;tanh;-0.375
216;162;0.23;tanh;-0.375
217;162;0.23;tanh;-0.375
218;162;0.23;tanh;-0.375
219;162;0.23;tanh;-0.375
220;162;0.23;tanh;-0.375
221;162;0.23;tanh;-0.375
222;162;0.23;tanh;-0.375
223;162;0.23;tanh;-0.375
224;162;0.23;tanh;-0.375
225;162;0.23;tanh;-0.375
