;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
1356;SA;MLP;6;7000;175;0.05;tanh;-0.325
1357;SA;MLP;6;7000;175;0.05;tanh;-0.325
1358;SA;MLP;6;7000;175;0.05;tanh;-0.325
1359;SA;MLP;6;7000;152;0.59;identity;-0.35
1360;SA;MLP;6;7000;152;0.59;identity;-0.35
1361;SA;MLP;6;7000;152;0.59;identity;-0.35
1362;SA;MLP;6;7000;152;0.59;identity;-0.35
1363;SA;MLP;6;7000;152;0.59;identity;-0.35
1364;SA;MLP;6;7000;152;0.59;identity;-0.35
1365;SA;MLP;6;7000;152;0.59;identity;-0.35
1366;SA;MLP;6;7000;152;0.59;identity;-0.35
1367;SA;MLP;6;7000;152;0.59;identity;-0.35
1368;SA;MLP;6;7000;152;0.59;identity;-0.35
1369;SA;MLP;6;7000;152;0.59;identity;-0.35
1370;SA;MLP;6;7000;152;0.59;identity;-0.35
1371;SA;MLP;6;7000;152;0.59;identity;-0.35
1372;SA;MLP;6;7000;152;0.59;identity;-0.35
1373;SA;MLP;6;7000;152;0.59;identity;-0.35
1374;SA;MLP;6;7000;152;0.59;identity;-0.35
1375;SA;MLP;6;7000;152;0.59;identity;-0.35
1376;SA;MLP;6;7000;152;0.59;identity;-0.35
1377;SA;MLP;6;7000;152;0.59;identity;-0.35
1378;SA;MLP;6;7000;152;0.59;identity;-0.35
1379;SA;MLP;6;7000;152;0.59;identity;-0.35
1380;SA;MLP;6;7000;152;0.59;identity;-0.35
1381;SA;MLP;6;7000;152;0.59;identity;-0.35
1382;SA;MLP;6;7000;152;0.59;identity;-0.35
1383;SA;MLP;6;7000;280;0.58;identity;-0.375
1384;SA;MLP;6;7000;280;0.58;identity;-0.375
1385;SA;MLP;6;7000;280;0.58;identity;-0.375
1386;SA;MLP;6;7000;280;0.58;identity;-0.375
1387;SA;MLP;6;7000;280;0.58;identity;-0.375
1388;SA;MLP;6;7000;280;0.58;identity;-0.375
1389;SA;MLP;6;7000;280;0.58;identity;-0.375
1390;SA;MLP;6;7000;280;0.58;identity;-0.375
1391;SA;MLP;6;7000;280;0.58;identity;-0.375
1392;SA;MLP;6;7000;280;0.58;identity;-0.375
1393;SA;MLP;6;7000;280;0.58;identity;-0.375
1394;SA;MLP;6;7000;280;0.58;identity;-0.375
1395;SA;MLP;6;7000;280;0.58;identity;-0.375
1396;SA;MLP;6;7000;280;0.58;identity;-0.375
1397;SA;MLP;6;7000;280;0.58;identity;-0.375
1398;SA;MLP;6;7000;280;0.58;identity;-0.375
1399;SA;MLP;6;7000;280;0.58;identity;-0.375
1400;SA;MLP;6;7000;280;0.58;identity;-0.375
1401;SA;MLP;6;7000;280;0.58;identity;-0.375
1402;SA;MLP;6;7000;280;0.58;identity;-0.375
1403;SA;MLP;6;7000;280;0.58;identity;-0.375
1404;SA;MLP;6;7000;280;0.58;identity;-0.375
1405;SA;MLP;6;7000;280;0.58;identity;-0.375
1406;SA;MLP;6;7000;280;0.58;identity;-0.375
1407;SA;MLP;6;7000;280;0.58;identity;-0.375
1408;SA;MLP;6;7000;280;0.58;identity;-0.375
1409;SA;MLP;6;7000;280;0.58;identity;-0.375
1410;SA;MLP;6;7000;280;0.58;identity;-0.375
1411;SA;MLP;6;7000;280;0.58;identity;-0.375
1412;SA;MLP;6;7000;280;0.58;identity;-0.375
1413;SA;MLP;6;7000;280;0.58;identity;-0.375
1414;SA;MLP;6;7000;280;0.58;identity;-0.375
1415;SA;MLP;6;7000;280;0.58;identity;-0.375
1416;SA;MLP;6;7000;280;0.58;identity;-0.375
1417;SA;MLP;6;7000;280;0.58;identity;-0.375
1418;SA;MLP;6;7000;280;0.58;identity;-0.375
1419;SA;MLP;6;7000;280;0.58;identity;-0.375
1420;SA;MLP;6;7000;280;0.58;identity;-0.375
1421;SA;MLP;6;7000;280;0.58;identity;-0.375
1422;SA;MLP;6;7000;280;0.58;identity;-0.375
