;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;325.0;248.0;3.0;5.0;-0.25
1;325.0;248.0;3.0;5.0;-0.25
2;354.0;174.0;10.0;5.0;-0.30000000000000004
3;354.0;174.0;10.0;5.0;-0.30000000000000004
4;354.0;174.0;10.0;5.0;-0.30000000000000004
5;354.0;174.0;10.0;5.0;-0.30000000000000004
6;354.0;174.0;10.0;5.0;-0.30000000000000004
7;358.0;150.0;10.0;2.0;-0.32500000000000007
8;358.0;150.0;10.0;2.0;-0.32500000000000007
9;358.0;150.0;10.0;2.0;-0.32500000000000007
10;358.0;150.0;10.0;2.0;-0.32500000000000007
11;358.0;150.0;10.0;2.0;-0.32500000000000007
12;358.0;150.0;10.0;2.0;-0.32500000000000007
13;358.0;150.0;10.0;2.0;-0.32500000000000007
14;358.0;150.0;10.0;2.0;-0.32500000000000007
