;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
1130;SA;RF;6;6000;99.0;151.0;12.0;48.0;-0.05
1131;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1132;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1133;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1134;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1135;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1136;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1137;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1138;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1139;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1140;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1141;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1142;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1143;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1144;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1145;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1146;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1147;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1148;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1149;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1150;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1151;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1152;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1153;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1154;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1155;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1156;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1157;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1158;SA;RF;6;6000;100.0;177.0;10.0;5.0;-0.25
1159;SA;RF;6;6000;182.0;382.0;17.0;8.0;-0.275
1160;SA;RF;6;6000;182.0;382.0;17.0;8.0;-0.275
