;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
450;PSO;MLP;8;3000;35;0.667;identity;-0.325
451;PSO;MLP;8;3000;35;0.667;identity;-0.325
452;PSO;MLP;8;3000;35;0.667;identity;-0.325
453;PSO;MLP;8;3000;35;0.667;identity;-0.325
454;PSO;MLP;8;3000;35;0.667;identity;-0.325
455;PSO;MLP;8;3000;35;0.667;identity;-0.325
456;PSO;MLP;8;3000;35;0.667;identity;-0.325
457;PSO;MLP;8;3000;35;0.667;identity;-0.325
458;PSO;MLP;8;3000;35;0.667;identity;-0.325
459;PSO;MLP;8;3000;35;0.667;identity;-0.325
460;PSO;MLP;8;3000;35;0.667;identity;-0.325
461;PSO;MLP;8;3000;35;0.667;identity;-0.325
462;PSO;MLP;8;3000;35;0.667;identity;-0.325
463;PSO;MLP;8;3000;35;0.667;identity;-0.325
464;PSO;MLP;8;3000;35;0.667;identity;-0.325
465;PSO;MLP;8;3000;35;0.667;identity;-0.325
466;PSO;MLP;8;3000;35;0.667;identity;-0.325
467;PSO;MLP;8;3000;35;0.667;identity;-0.325
468;PSO;MLP;8;3000;35;0.667;identity;-0.325
469;PSO;MLP;8;3000;35;0.667;identity;-0.325
470;PSO;MLP;8;3000;35;0.667;identity;-0.325
471;PSO;MLP;8;3000;35;0.667;identity;-0.325
472;PSO;MLP;8;3000;35;0.667;identity;-0.325
473;PSO;MLP;8;3000;35;0.667;identity;-0.325
474;PSO;MLP;8;3000;35;0.667;identity;-0.325
475;PSO;MLP;8;3000;35;0.667;identity;-0.325
476;PSO;MLP;8;3000;35;0.667;identity;-0.325
477;PSO;MLP;8;3000;35;0.667;identity;-0.325
478;PSO;MLP;8;3000;35;0.667;identity;-0.325
479;PSO;MLP;8;3000;35;0.667;identity;-0.325
480;PSO;MLP;8;3000;35;0.667;identity;-0.325
481;PSO;MLP;8;3000;35;0.667;identity;-0.325
482;PSO;MLP;8;3000;35;0.667;identity;-0.325
483;PSO;MLP;8;3000;35;0.667;identity;-0.325
484;PSO;MLP;8;3000;35;0.667;identity;-0.325
485;PSO;MLP;8;3000;35;0.667;identity;-0.325
486;PSO;MLP;8;3000;35;0.667;identity;-0.325
487;PSO;MLP;8;3000;35;0.667;identity;-0.325
488;PSO;MLP;8;3000;35;0.667;identity;-0.325
489;PSO;MLP;8;3000;35;0.667;identity;-0.325
490;PSO;MLP;8;3000;35;0.667;identity;-0.325
491;PSO;MLP;8;3000;35;0.667;identity;-0.325
492;PSO;MLP;8;3000;35;0.667;identity;-0.325
493;PSO;MLP;8;3000;35;0.667;identity;-0.325
494;PSO;MLP;8;3000;35;0.667;identity;-0.325
495;PSO;MLP;8;3000;35;0.667;identity;-0.325
496;PSO;MLP;8;3000;35;0.667;identity;-0.325
497;PSO;MLP;8;3000;35;0.667;identity;-0.325
498;PSO;MLP;8;3000;35;0.667;identity;-0.325
499;PSO;MLP;8;3000;35;0.667;identity;-0.325
500;PSO;MLP;8;3000;35;0.667;identity;-0.325
501;PSO;MLP;8;3000;35;0.667;identity;-0.325
502;PSO;MLP;8;3000;35;0.667;identity;-0.325
503;PSO;MLP;8;3000;35;0.667;identity;-0.325
504;PSO;MLP;8;3000;35;0.667;identity;-0.325
505;PSO;MLP;8;3000;35;0.667;identity;-0.325
506;PSO;MLP;8;3000;35;0.667;identity;-0.325
507;PSO;MLP;8;3000;35;0.667;identity;-0.325
508;PSO;MLP;8;3000;35;0.667;identity;-0.325
509;PSO;MLP;8;3000;35;0.667;identity;-0.325
510;PSO;MLP;8;3000;35;0.667;identity;-0.325
511;PSO;MLP;8;3000;35;0.667;identity;-0.325
512;PSO;MLP;8;3000;35;0.667;identity;-0.325
513;PSO;MLP;8;3000;35;0.667;identity;-0.325
514;PSO;MLP;8;3000;35;0.667;identity;-0.325
515;PSO;MLP;8;3000;35;0.667;identity;-0.325
516;PSO;MLP;8;3000;35;0.667;identity;-0.325
517;PSO;MLP;8;3000;35;0.667;identity;-0.325
518;PSO;MLP;8;3000;35;0.667;identity;-0.325
519;PSO;MLP;8;3000;35;0.667;identity;-0.325
520;PSO;MLP;8;3000;35;0.667;identity;-0.325
521;PSO;MLP;8;3000;35;0.667;identity;-0.325
522;PSO;MLP;8;3000;35;0.667;identity;-0.325
523;PSO;MLP;8;3000;35;0.667;identity;-0.325
524;PSO;MLP;8;3000;35;0.667;identity;-0.325
525;PSO;MLP;8;3000;35;0.667;identity;-0.325
526;PSO;MLP;8;3000;35;0.667;identity;-0.325
527;PSO;MLP;8;3000;35;0.667;identity;-0.325
528;PSO;MLP;8;3000;35;0.667;identity;-0.325
529;PSO;MLP;8;3000;35;0.667;identity;-0.325
530;PSO;MLP;8;3000;35;0.667;identity;-0.325
531;PSO;MLP;8;3000;35;0.667;identity;-0.325
532;PSO;MLP;8;3000;35;0.667;identity;-0.325
