;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
2034;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2035;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2036;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2037;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2038;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2039;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2040;SA;RF;7;10000;305.0;162.0;4.0;46.0;-0.025
2041;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2042;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2043;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2044;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2045;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2046;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2047;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2048;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2049;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2050;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2051;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2052;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2053;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2054;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2055;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2056;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2057;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2058;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2059;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2060;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2061;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2062;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2063;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2064;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2065;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2066;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2067;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2068;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2069;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2070;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2071;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2072;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2073;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2074;SA;RF;7;10000;363.0;97.0;47.0;9.0;-0.1
2075;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2076;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2077;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2078;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2079;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2080;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2081;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2082;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2083;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2084;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2085;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2086;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2087;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2088;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2089;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2090;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2091;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2092;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2093;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2094;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2095;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2096;SA;RF;7;10000;26.0;318.0;14.0;5.0;-0.2
2097;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2098;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2099;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2100;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2101;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2102;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2103;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2104;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2105;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2106;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2107;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2108;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2109;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2110;SA;RF;7;10000;36.0;312.0;5.0;2.0;-0.225
2111;SA;RF;7;10000;34.0;302.0;3.0;4.0;-0.275
2112;SA;RF;7;10000;34.0;302.0;3.0;4.0;-0.275
2113;SA;RF;7;10000;34.0;302.0;3.0;4.0;-0.275
