;Hidden Layers;Alpha;Activation;Fitness
0;219;0.53;relu;-0.275
1;219;0.53;relu;-0.275
2;219;0.53;relu;-0.275
3;219;0.53;relu;-0.275
4;223;0.43;identity;-0.30000000000000004
5;223;0.43;identity;-0.30000000000000004
6;223;0.43;identity;-0.30000000000000004
7;223;0.43;identity;-0.30000000000000004
8;223;0.43;identity;-0.30000000000000004
9;223;0.43;identity;-0.30000000000000004
10;223;0.43;identity;-0.30000000000000004
11;223;0.43;identity;-0.30000000000000004
12;223;0.43;identity;-0.30000000000000004
13;223;0.43;identity;-0.30000000000000004
14;223;0.43;identity;-0.30000000000000004
15;223;0.43;identity;-0.30000000000000004
16;223;0.43;identity;-0.30000000000000004
17;223;0.43;identity;-0.30000000000000004
18;223;0.43;identity;-0.30000000000000004
19;223;0.43;identity;-0.30000000000000004
20;223;0.43;identity;-0.30000000000000004
21;223;0.43;identity;-0.30000000000000004
22;223;0.43;identity;-0.30000000000000004
23;223;0.43;identity;-0.30000000000000004
24;223;0.43;identity;-0.30000000000000004
25;223;0.43;identity;-0.30000000000000004
26;223;0.43;identity;-0.30000000000000004
27;223;0.43;identity;-0.30000000000000004
28;223;0.43;identity;-0.30000000000000004
29;223;0.43;identity;-0.30000000000000004
30;223;0.43;identity;-0.30000000000000004
31;223;0.43;identity;-0.30000000000000004
32;223;0.43;identity;-0.30000000000000004
33;223;0.43;identity;-0.30000000000000004
34;223;0.43;identity;-0.30000000000000004
35;223;0.43;identity;-0.30000000000000004
36;223;0.43;identity;-0.30000000000000004
37;223;0.43;identity;-0.30000000000000004
38;223;0.43;identity;-0.30000000000000004
39;223;0.43;identity;-0.30000000000000004
40;223;0.43;identity;-0.30000000000000004
41;223;0.43;identity;-0.30000000000000004
42;223;0.43;identity;-0.30000000000000004
43;223;0.43;identity;-0.30000000000000004
44;223;0.43;identity;-0.30000000000000004
45;223;0.43;identity;-0.30000000000000004
46;223;0.43;identity;-0.30000000000000004
47;223;0.43;identity;-0.30000000000000004
48;223;0.43;identity;-0.30000000000000004
49;223;0.43;identity;-0.30000000000000004
50;223;0.43;identity;-0.30000000000000004
51;223;0.43;identity;-0.30000000000000004
52;223;0.43;identity;-0.30000000000000004
53;223;0.43;identity;-0.30000000000000004
54;223;0.43;identity;-0.30000000000000004
55;223;0.43;identity;-0.30000000000000004
56;223;0.43;identity;-0.30000000000000004
57;223;0.43;identity;-0.30000000000000004
58;223;0.43;identity;-0.30000000000000004
59;223;0.43;identity;-0.30000000000000004
60;223;0.43;identity;-0.30000000000000004
61;223;0.43;identity;-0.30000000000000004
62;223;0.43;identity;-0.30000000000000004
63;223;0.43;identity;-0.30000000000000004
64;223;0.43;identity;-0.30000000000000004
65;223;0.43;identity;-0.30000000000000004
66;223;0.43;identity;-0.30000000000000004
67;223;0.43;identity;-0.30000000000000004
68;223;0.43;identity;-0.30000000000000004
69;223;0.43;identity;-0.30000000000000004
70;223;0.43;identity;-0.30000000000000004
71;223;0.43;identity;-0.30000000000000004
72;223;0.43;identity;-0.30000000000000004
73;223;0.43;identity;-0.30000000000000004
74;223;0.43;identity;-0.30000000000000004
75;223;0.43;identity;-0.30000000000000004
76;223;0.43;identity;-0.30000000000000004
77;223;0.43;identity;-0.30000000000000004
78;223;0.43;identity;-0.30000000000000004
79;223;0.43;identity;-0.30000000000000004
