;Hidden Layers;Alpha;Activation;Fitness
0;337;0.16;tanh;-0.25
1;337;0.16;tanh;-0.25
2;341;0.39;identity;-0.275
3;341;0.39;identity;-0.275
4;341;0.39;identity;-0.275
5;341;0.39;identity;-0.275
6;341;0.39;identity;-0.275
7;341;0.39;identity;-0.275
8;341;0.39;identity;-0.275
9;341;0.39;identity;-0.275
10;341;0.39;identity;-0.275
11;341;0.39;identity;-0.275
12;341;0.39;identity;-0.275
13;341;0.39;identity;-0.275
14;341;0.39;identity;-0.275
15;341;0.39;identity;-0.275
16;379;0.31;identity;-0.30000000000000004
17;379;0.31;identity;-0.30000000000000004
18;379;0.31;identity;-0.30000000000000004
19;379;0.31;identity;-0.30000000000000004
20;379;0.31;identity;-0.30000000000000004
21;379;0.31;identity;-0.30000000000000004
22;379;0.31;identity;-0.30000000000000004
23;379;0.31;identity;-0.30000000000000004
24;379;0.31;identity;-0.30000000000000004
25;379;0.31;identity;-0.30000000000000004
26;379;0.31;identity;-0.30000000000000004
27;379;0.31;identity;-0.30000000000000004
28;379;0.31;identity;-0.30000000000000004
29;379;0.31;identity;-0.30000000000000004
30;379;0.31;identity;-0.30000000000000004
31;379;0.31;identity;-0.30000000000000004
32;379;0.31;identity;-0.30000000000000004
33;379;0.31;identity;-0.30000000000000004
34;379;0.31;identity;-0.30000000000000004
35;379;0.31;identity;-0.30000000000000004
36;379;0.31;identity;-0.30000000000000004
37;379;0.31;identity;-0.30000000000000004
38;379;0.31;identity;-0.30000000000000004
39;298;0.43;identity;-0.325
40;298;0.43;identity;-0.325
41;298;0.43;identity;-0.325
42;298;0.43;identity;-0.325
43;298;0.43;identity;-0.325
44;298;0.43;identity;-0.325
45;298;0.43;identity;-0.325
46;298;0.43;identity;-0.325
47;298;0.43;identity;-0.325
48;298;0.43;identity;-0.325
49;298;0.43;identity;-0.325
50;298;0.43;identity;-0.325
51;298;0.43;identity;-0.325
52;298;0.43;identity;-0.325
53;298;0.43;identity;-0.325
54;298;0.43;identity;-0.325
55;298;0.43;identity;-0.325
56;298;0.43;identity;-0.325
57;298;0.43;identity;-0.325
58;298;0.43;identity;-0.325
59;274;0.05;identity;-0.35000000000000003
60;274;0.05;identity;-0.35000000000000003
61;274;0.05;identity;-0.35000000000000003
62;274;0.05;identity;-0.35000000000000003
63;274;0.05;identity;-0.35000000000000003
64;274;0.05;identity;-0.35000000000000003
65;274;0.05;identity;-0.35000000000000003
66;274;0.05;identity;-0.35000000000000003
67;274;0.05;identity;-0.35000000000000003
68;274;0.05;identity;-0.35000000000000003
69;274;0.05;identity;-0.35000000000000003
70;274;0.05;identity;-0.35000000000000003
71;274;0.05;identity;-0.35000000000000003
72;274;0.05;identity;-0.35000000000000003
73;274;0.05;identity;-0.35000000000000003
74;274;0.05;identity;-0.35000000000000003
75;274;0.05;identity;-0.35000000000000003
76;274;0.05;identity;-0.35000000000000003
77;274;0.05;identity;-0.35000000000000003
78;274;0.05;identity;-0.35000000000000003
79;274;0.05;identity;-0.35000000000000003
80;274;0.05;identity;-0.35000000000000003
81;274;0.05;identity;-0.35000000000000003
82;274;0.05;identity;-0.35000000000000003
83;274;0.05;identity;-0.35000000000000003
84;274;0.05;identity;-0.35000000000000003
85;274;0.05;identity;-0.35000000000000003
86;274;0.05;identity;-0.35000000000000003
87;274;0.05;identity;-0.35000000000000003
88;274;0.05;identity;-0.35000000000000003
89;274;0.05;identity;-0.35000000000000003
90;274;0.05;identity;-0.35000000000000003
91;274;0.05;identity;-0.35000000000000003
92;274;0.05;identity;-0.35000000000000003
93;274;0.05;identity;-0.35000000000000003
94;274;0.05;identity;-0.35000000000000003
95;274;0.05;identity;-0.35000000000000003
96;274;0.05;identity;-0.35000000000000003
97;274;0.05;identity;-0.35000000000000003
98;274;0.05;identity;-0.35000000000000003
99;274;0.05;identity;-0.35000000000000003
100;274;0.05;identity;-0.35000000000000003
101;274;0.05;identity;-0.35000000000000003
102;274;0.05;identity;-0.35000000000000003
103;274;0.05;identity;-0.35000000000000003
