DATA;ESN;MLP;RF;XGBoost;WSB
2024-05-31;5263.206602667533;5386.559030905327;4827.335556782722;4870.144;5263.206602667533
2024-06-30;3671.5667532842313;4032.9542539062177;4335.8629513585265;4258.8135;3775.8619971276426
2024-07-31;3307.7547684087353;4080.0991206425674;3198.9404273395894;4007.303;3553.0702345562354
2024-08-31;5830.382776455616;5454.017680402422;5529.183875143189;6349.5864;5660.991777114211
2024-09-30;5417.936756923303;5620.192468319748;5872.000195440852;7137.925;5636.709806894634
2024-10-31;5228.640538581202;5838.791688678167;5405.139285951821;5442.7583;5391.397510353543
