DATA;ESN;MLP;RF;XGBoost;WSB
2024-05-31;12864.12336470474;17159.607765865992;19302.12941893556;21262.734;12864.12336470474
2024-06-30;13206.160146722053;15535.063575657443;16153.342701780919;18835.002;13645.833978721575
2024-07-31;10111.55982853757;11344.635080172862;11727.69128075704;13940.238;10586.427612513366
2024-08-31;20163.626297288432;18664.617319376837;18572.05899435726;17893.098;19390.98222707774
2024-09-30;15229.538466603444;17035.311977693353;15286.376462858161;15918.505;15688.849804093734
2024-10-31;21385.856619447695;23136.99243190749;23447.383068898616;22292.914;22845.13646316419
