;MAPE;RRMSE
ESN;0.2639770095394906;0.2798975173863146
MLP;0.2949571827070084;0.26612650556632717
RF;0.2499937167301145;0.26020439151039315
XGBoost;0.25912639004708615;0.26199186755192144
WSB;0.2479330651260361;0.25943803394837606
