;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
309;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
310;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
311;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
312;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
313;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
314;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
315;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
316;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
317;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
318;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
319;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
320;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
321;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
322;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
323;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
324;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
325;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
326;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
327;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
328;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
329;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
330;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
331;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
332;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
333;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
334;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
335;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
336;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
337;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
338;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
339;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
340;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
341;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
342;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
343;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
344;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
345;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
346;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
347;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
348;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
349;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
