;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;305.0;162.0;4.0;46.0;-0.07500000000000001
1;71.0;371.0;3.0;43.0;-0.1
2;71.0;371.0;3.0;43.0;-0.1
3;63.0;357.0;38.0;26.0;-0.2
4;63.0;357.0;38.0;26.0;-0.2
5;63.0;357.0;38.0;26.0;-0.2
6;63.0;357.0;38.0;26.0;-0.2
7;63.0;357.0;38.0;26.0;-0.2
8;18.0;306.0;43.0;19.0;-0.225
9;18.0;306.0;43.0;19.0;-0.225
10;18.0;306.0;43.0;19.0;-0.225
11;18.0;306.0;43.0;19.0;-0.225
12;18.0;306.0;43.0;19.0;-0.225
13;310.0;358.0;43.0;12.0;-0.25
14;288.0;245.0;46.0;7.0;-0.325
15;288.0;245.0;46.0;7.0;-0.325
16;288.0;245.0;46.0;7.0;-0.325
17;288.0;245.0;46.0;7.0;-0.325
18;288.0;245.0;46.0;7.0;-0.325
19;288.0;245.0;46.0;7.0;-0.325
20;288.0;245.0;46.0;7.0;-0.325
21;288.0;245.0;46.0;7.0;-0.325
22;288.0;245.0;46.0;7.0;-0.325
23;288.0;245.0;46.0;7.0;-0.325
24;288.0;245.0;46.0;7.0;-0.325
25;288.0;245.0;46.0;7.0;-0.325
26;288.0;245.0;46.0;7.0;-0.325
27;288.0;245.0;46.0;7.0;-0.325
28;288.0;245.0;46.0;7.0;-0.325
29;288.0;245.0;46.0;7.0;-0.325
30;387.0;27.0;18.0;11.0;-0.375
31;387.0;27.0;18.0;11.0;-0.375
32;387.0;27.0;18.0;11.0;-0.375
33;387.0;27.0;18.0;11.0;-0.375
34;387.0;27.0;18.0;11.0;-0.375
35;387.0;27.0;18.0;11.0;-0.375
36;387.0;27.0;18.0;11.0;-0.375
37;387.0;27.0;18.0;11.0;-0.375
38;387.0;27.0;18.0;11.0;-0.375
39;387.0;27.0;18.0;11.0;-0.375
40;387.0;27.0;18.0;11.0;-0.375
41;387.0;27.0;18.0;11.0;-0.375
42;387.0;27.0;18.0;11.0;-0.375
43;348.0;101.0;35.0;7.0;-0.4
44;348.0;101.0;35.0;7.0;-0.4
45;315.0;100.0;27.0;2.0;-0.45000000000000007
46;315.0;100.0;27.0;2.0;-0.45000000000000007
47;315.0;100.0;27.0;2.0;-0.45000000000000007
48;315.0;100.0;27.0;2.0;-0.45000000000000007
49;315.0;100.0;27.0;2.0;-0.45000000000000007
50;315.0;100.0;27.0;2.0;-0.45000000000000007
51;315.0;100.0;27.0;2.0;-0.45000000000000007
52;315.0;100.0;27.0;2.0;-0.45000000000000007
53;315.0;100.0;27.0;2.0;-0.45000000000000007
54;315.0;100.0;27.0;2.0;-0.45000000000000007
55;315.0;100.0;27.0;2.0;-0.45000000000000007
56;315.0;100.0;27.0;2.0;-0.45000000000000007
57;315.0;100.0;27.0;2.0;-0.45000000000000007
58;315.0;100.0;27.0;2.0;-0.45000000000000007
59;315.0;100.0;27.0;2.0;-0.45000000000000007
60;315.0;100.0;27.0;2.0;-0.45000000000000007
61;315.0;100.0;27.0;2.0;-0.45000000000000007
