CAMPUS;Nome do Curso;Grau;Modalidade;Situação do Curso;Qt. Vagas Autorizadas;Integralização - Turno Integral (ANOS);Quantitativo de Vagas - Integral;Integralização - Turno Matutino (ANOS);Quantitativo de Vagas - Matutino;Integralização - Turno Vespertino (ANOS);Quantitativo de Vagas - Vespertino;Integralização - Turno Noturno (ANOS);Quantitativo de Vagas - Noturno;Início Funcionamento;Fim Funcionamento
COLOMBO;PROCESSOS GERENCIAIS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;40.0;07/01/2023;
CAMPO LARGO;MATEMÁTICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;06/02/2020;
PALMAS;PEDAGOGIA;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/03/1969;
UMUARAMA;ARQUITETURA E URBANISMO;Bacharelado;Educação Presencial;Em atividade;40.0;5.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;06/02/2018;
CORONEL VIVIDA;GESTÃO FINANCEIRA;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;40.0;04/02/2024;
PARANAVAÍ;ENGENHARIA ELÉTRICA;Bacharelado;Educação Presencial;Em atividade;40.0;5.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;06/02/2017;
PALMAS;FARMÃCIA;Bacharelado;Educação Presencial;Em atividade;40.0;5.0;40.0;5.0;0.0;5.0;0.0;0.0;0.0;26/06/2004;
IVAIPORÃ;AGROECOLOGIA;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2017;
UNIÃO DA VITÓRIA;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PARANAVAÍ;ENGENHARIA DE SOFTWARE;Bacharelado;Educação Presencial;Em atividade;40.0;4.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;07/02/2019;
FOZ DO IGUAÇU;FÍSICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;40.0;03/02/2014;
COLOMBO;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PALMAS;SISTEMA DE INFORMAÇÃO;Bacharelado;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;16/02/1998;
PALMAS;LETRAS - PORTUGUÊS E INGLÊS;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/03/1969;
IRATI;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;06/02/2018;
CASCAVEL;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;06/02/2018;
PALMAS;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
TELÊMACO BORBA;ENGENHARIA ELÉTRICA;Bacharelado;Educação Presencial;Em atividade;40.0;5.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;07/02/2019;
PINHAIS;ADMINISTRAÇÃO;Bacharelado;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;06/02/2024;
PINHAIS;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;35.0;0.0;0.0;0.0;0.0;4.0;35.0;0.0;0.0;14/04/2022;
JACAREZINHO;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/02/2015;
IVAIPORÃ;FÍSICA;Licenciatura;Educação Presencial;Em atividade;36.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;36.0;09/02/2015;
PALMAS;EDUCAÇÃO FÍSICA;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;25.0;20/02/1984;
CASCAVEL;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2019;
PARANAGUÁ;FÍSICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;14/02/2011;
PITANGA;PEDAGOGIA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;07/02/2019;
CAMPO LARGO;ENGENHARIA ELÉTRICA;Bacharelado;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;40.0;06/02/2020;
TELÊMACO BORBA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;36.0;09/02/2015;
UNIÃO DA VITÓRIA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2019;
JACAREZINHO;SISTEMAS PARA INTERNET;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2019;
