DATA;CAMPUS;CONSUMO
2023-03-22;ARAPONGAS;8.333333333333334
2023-03-23;ARAPONGAS;8.333333333333334
2023-03-24;ARAPONGAS;8.333333333333334
2023-03-25;ARAPONGAS;8.333333333333334
2023-03-26;ARAPONGAS;8.333333333333334
2023-03-27;ARAPONGAS;8.333333333333334
2023-03-28;ARAPONGAS;8.333333333333334
2023-03-29;ARAPONGAS;8.333333333333334
2023-03-30;ARAPONGAS;8.333333333333334
2023-03-31;ARAPONGAS;8.333333333333334
2023-04-01;ARAPONGAS;8.333333333333334
2023-04-02;ARAPONGAS;8.333333333333334
2023-04-03;ARAPONGAS;8.333333333333334
2023-04-04;ARAPONGAS;8.333333333333334
2023-04-05;ARAPONGAS;8.333333333333334
2023-04-06;ARAPONGAS;8.333333333333334
2023-04-07;ARAPONGAS;8.333333333333334
2023-04-08;ARAPONGAS;8.333333333333334
2023-04-09;ARAPONGAS;8.333333333333334
2023-04-10;ARAPONGAS;8.333333333333334
2023-04-11;ARAPONGAS;8.333333333333334
2023-04-12;ARAPONGAS;8.333333333333334
2023-04-13;ARAPONGAS;10.241379310344827
2023-04-14;ARAPONGAS;10.241379310344827
2023-04-15;ARAPONGAS;10.241379310344827
2023-04-16;ARAPONGAS;10.241379310344827
2023-04-17;ARAPONGAS;10.241379310344827
2023-04-18;ARAPONGAS;10.241379310344827
2023-04-19;ARAPONGAS;10.241379310344827
2023-04-20;ARAPONGAS;10.241379310344827
2023-04-21;ARAPONGAS;10.241379310344827
2023-04-22;ARAPONGAS;10.241379310344827
2023-04-23;ARAPONGAS;10.241379310344827
2023-04-24;ARAPONGAS;10.241379310344827
2023-04-25;ARAPONGAS;10.241379310344827
2023-04-26;ARAPONGAS;10.241379310344827
2023-04-27;ARAPONGAS;10.241379310344827
2023-04-28;ARAPONGAS;10.241379310344827
2023-04-29;ARAPONGAS;10.241379310344827
2023-04-30;ARAPONGAS;10.241379310344827
2023-05-01;ARAPONGAS;10.241379310344827
2023-05-02;ARAPONGAS;10.241379310344827
2023-05-03;ARAPONGAS;10.241379310344827
2023-05-04;ARAPONGAS;10.241379310344827
2023-05-05;ARAPONGAS;10.241379310344827
2023-05-06;ARAPONGAS;10.241379310344827
2023-05-07;ARAPONGAS;10.241379310344827
2023-05-08;ARAPONGAS;10.241379310344827
2023-05-09;ARAPONGAS;10.241379310344827
2023-05-10;ARAPONGAS;10.241379310344827
2023-05-11;ARAPONGAS;10.241379310344827
2023-05-12;ARAPONGAS;12.5
2023-05-13;ARAPONGAS;12.5
2023-05-14;ARAPONGAS;12.5
2023-05-15;ARAPONGAS;12.5
2023-05-16;ARAPONGAS;12.5
2023-05-17;ARAPONGAS;12.5
2023-05-18;ARAPONGAS;12.5
2023-05-19;ARAPONGAS;12.5
2023-05-20;ARAPONGAS;12.5
2023-05-21;ARAPONGAS;12.5
2023-05-22;ARAPONGAS;12.5
2023-05-23;ARAPONGAS;12.5
2023-05-24;ARAPONGAS;12.5
2023-05-25;ARAPONGAS;12.5
2023-05-26;ARAPONGAS;12.5
2023-05-27;ARAPONGAS;12.5
2023-05-28;ARAPONGAS;12.5
2023-05-29;ARAPONGAS;12.5
2023-05-30;ARAPONGAS;12.5
2023-05-31;ARAPONGAS;12.5
2023-06-01;ARAPONGAS;12.5
2023-06-02;ARAPONGAS;12.5
2023-06-03;ARAPONGAS;12.5
2023-06-04;ARAPONGAS;12.5
2023-06-05;ARAPONGAS;12.5
2023-06-06;ARAPONGAS;12.5
2023-06-07;ARAPONGAS;12.5
2023-06-08;ARAPONGAS;12.5
2023-06-09;ARAPONGAS;12.5
2023-06-10;ARAPONGAS;12.5
2023-06-11;ARAPONGAS;12.5
2023-06-12;ARAPONGAS;12.5
2023-06-13;ARAPONGAS;12.7
2023-06-14;ARAPONGAS;12.7
2023-06-15;ARAPONGAS;12.7
2023-06-16;ARAPONGAS;12.7
2023-06-17;ARAPONGAS;12.7
2023-06-18;ARAPONGAS;12.7
2023-06-19;ARAPONGAS;12.7
2023-06-20;ARAPONGAS;12.7
2023-06-21;ARAPONGAS;12.7
2023-06-22;ARAPONGAS;12.7
2023-06-23;ARAPONGAS;12.7
2023-06-24;ARAPONGAS;12.7
2023-06-25;ARAPONGAS;12.7
2023-06-26;ARAPONGAS;12.7
2023-06-27;ARAPONGAS;12.7
2023-06-28;ARAPONGAS;12.7
2023-06-29;ARAPONGAS;12.7
2023-06-30;ARAPONGAS;12.7
2023-07-01;ARAPONGAS;12.7
2023-07-02;ARAPONGAS;12.7
2023-07-03;ARAPONGAS;12.7
2023-07-04;ARAPONGAS;12.7
2023-07-05;ARAPONGAS;12.7
2023-07-06;ARAPONGAS;12.7
2023-07-07;ARAPONGAS;12.7
2023-07-08;ARAPONGAS;12.7
2023-07-09;ARAPONGAS;12.7
2023-07-10;ARAPONGAS;12.7
2023-07-11;ARAPONGAS;12.7
2023-07-12;ARAPONGAS;12.7
2023-07-13;ARAPONGAS;16.866666666666667
2023-07-14;ARAPONGAS;16.866666666666667
2023-07-15;ARAPONGAS;16.866666666666667
2023-07-16;ARAPONGAS;16.866666666666667
2023-07-17;ARAPONGAS;16.866666666666667
2023-07-18;ARAPONGAS;16.866666666666667
2023-07-19;ARAPONGAS;16.866666666666667
2023-07-20;ARAPONGAS;16.866666666666667
2023-07-21;ARAPONGAS;16.866666666666667
2023-07-22;ARAPONGAS;16.866666666666667
2023-07-23;ARAPONGAS;16.866666666666667
2023-07-24;ARAPONGAS;16.866666666666667
2023-07-25;ARAPONGAS;16.866666666666667
2023-07-26;ARAPONGAS;16.866666666666667
2023-07-27;ARAPONGAS;16.866666666666667
2023-07-28;ARAPONGAS;16.866666666666667
2023-07-29;ARAPONGAS;16.866666666666667
2023-07-30;ARAPONGAS;16.866666666666667
2023-07-31;ARAPONGAS;16.866666666666667
2023-08-01;ARAPONGAS;16.866666666666667
2023-08-02;ARAPONGAS;16.866666666666667
2023-08-03;ARAPONGAS;16.866666666666667
2023-08-04;ARAPONGAS;16.866666666666667
2023-08-05;ARAPONGAS;16.866666666666667
2023-08-06;ARAPONGAS;16.866666666666667
2023-08-07;ARAPONGAS;16.866666666666667
2023-08-08;ARAPONGAS;16.866666666666667
2023-08-09;ARAPONGAS;16.866666666666667
2023-08-10;ARAPONGAS;16.866666666666667
2023-08-11;ARAPONGAS;16.866666666666667
2023-08-12;ARAPONGAS;4.28125
2023-08-13;ARAPONGAS;4.28125
2023-08-14;ARAPONGAS;4.28125
2023-08-15;ARAPONGAS;4.28125
2023-08-16;ARAPONGAS;4.28125
2023-08-17;ARAPONGAS;4.28125
2023-08-18;ARAPONGAS;4.28125
2023-08-19;ARAPONGAS;4.28125
2023-08-20;ARAPONGAS;4.28125
2023-08-21;ARAPONGAS;4.28125
2023-08-22;ARAPONGAS;4.28125
2023-08-23;ARAPONGAS;4.28125
2023-08-24;ARAPONGAS;4.28125
2023-08-25;ARAPONGAS;4.28125
2023-08-26;ARAPONGAS;4.28125
2023-08-27;ARAPONGAS;4.28125
2023-08-28;ARAPONGAS;4.28125
2023-08-29;ARAPONGAS;4.28125
2023-08-30;ARAPONGAS;4.28125
2023-08-31;ARAPONGAS;4.28125
2023-09-01;ARAPONGAS;4.28125
2023-09-02;ARAPONGAS;4.28125
2023-09-03;ARAPONGAS;4.28125
2023-09-04;ARAPONGAS;4.28125
2023-09-05;ARAPONGAS;4.28125
2023-09-06;ARAPONGAS;4.28125
2023-09-07;ARAPONGAS;4.28125
2023-09-08;ARAPONGAS;4.28125
2023-09-09;ARAPONGAS;4.28125
2023-09-10;ARAPONGAS;4.28125
2023-09-11;ARAPONGAS;4.28125
2023-09-12;ARAPONGAS;4.28125
2023-09-13;ARAPONGAS;6.793103448275862
2023-09-14;ARAPONGAS;6.793103448275862
2023-09-15;ARAPONGAS;6.793103448275862
2023-09-16;ARAPONGAS;6.793103448275862
2023-09-17;ARAPONGAS;6.793103448275862
