NO_CURSO;NO_TIPO_CURSO;NO_MODALIDADE;NO_TIPO_OFERTA;CAMPUS;DATA INICIO;DATA FIM
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;ASSIS CHATEAUBRIAND;13/02/2012;31/12/2022
TÉCNICO EM INFORMÁTICA PARA INTERNET;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;ASSIS CHATEAUBRIAND;06/02/2020;31/12/2026
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASSIS CHATEAUBRIAND;14/12/2015;22/12/2017
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;ASSIS CHATEAUBRIAND;24/05/2010;17/07/2015
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASSIS CHATEAUBRIAND;14/12/2015;22/12/2017
TÉCNICO EM ORIENTAÇÃO COMUNITÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;ASSIS CHATEAUBRIAND;06/02/2018;05/07/2019
TÉCNICO EM ORIENTAÇÃO COMUNITÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;ASSIS CHATEAUBRIAND;01/08/2011;10/08/2018
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASSIS CHATEAUBRIAND;01/09/2010;21/12/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASSIS CHATEAUBRIAND;14/12/2015;24/11/2019
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASSIS CHATEAUBRIAND;14/12/2015;22/12/2017
TÉCNICO EM TELECOMUNICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;ASSIS CHATEAUBRIAND;24/05/2010;22/12/2012
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASTORGA;14/12/2015;22/12/2016
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASTORGA;14/12/2015;22/12/2017
TÉCNICO EM DESENVOLVIMENTO DE SISTEMAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;ASTORGA;07/02/2020;18/12/2026
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;ASTORGA;01/08/2015;20/12/2027
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASTORGA;14/12/2015;22/12/2017
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;ASTORGA;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;BARRACÃO;01/04/2015;23/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;BARRACÃO;06/02/2018;23/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;BARRACÃO;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;BARRACÃO;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;INTEGRADO;CAMPO LARGO;15/02/2023;22/12/2025
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAMPO LARGO;17/09/2010;17/12/2012
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAMPO LARGO;18/02/2019;17/12/2027
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CAMPO LARGO;15/02/2016;16/12/2022
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAMPO LARGO;05/12/2022;05/12/2024
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAMPO LARGO;08/12/2014;17/12/2027
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CAMPO LARGO;01/03/2010;31/07/2018
