;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;46;97;103;mish;True;0.35460685296852607
1;115;6;134;softplus;False;0.33591954113027217
2;115;6;134;softplus;False;0.33591954113027217
3;115;6;134;softplus;False;0.33591954113027217
4;115;6;134;softplus;False;0.33591954113027217
5;115;6;134;softplus;False;0.33591954113027217
6;115;6;134;softplus;False;0.33591954113027217
7;115;6;134;softplus;False;0.33591954113027217
8;115;6;134;softplus;False;0.33591954113027217
9;115;6;134;softplus;False;0.33591954113027217
10;115;6;134;softplus;False;0.33591954113027217
11;115;6;134;softplus;False;0.33591954113027217
12;115;6;134;softplus;False;0.33591954113027217
13;115;6;134;softplus;False;0.33591954113027217
14;115;6;134;softplus;False;0.33591954113027217
15;115;6;134;softplus;False;0.33591954113027217
16;115;6;134;softplus;False;0.33591954113027217
17;115;6;134;softplus;False;0.33591954113027217
18;115;6;134;softplus;False;0.33591954113027217
19;115;6;134;softplus;False;0.33591954113027217
