;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;170;280;gbtree;8.56974103650664;45.123385678678844;0.2047265997206397;30000
1;170;280;gbtree;8.56974103650664;45.123385678678844;0.2047265997206397;30000
2;170;280;gbtree;8.56974103650664;45.123385678678844;0.2047265997206397;30000
3;147;274;gbtree;7.968123861848973;46.38112916931503;0.2015709408154731;30000
4;147;274;gbtree;7.968123861848973;46.38112916931503;0.2015709408154731;30000
5;155;195;gbtree;3.536923581864232;59.72092747759001;0.1927595539385546;30000
6;155;195;gbtree;3.536923581864232;59.72092747759001;0.1927595539385546;30000
7;155;195;gbtree;3.536923581864232;59.72092747759001;0.1927595539385546;30000
8;155;195;gbtree;3.536923581864232;59.72092747759001;0.1927595539385546;30000
9;155;195;gbtree;3.536923581864232;59.72092747759001;0.1927595539385546;30000
10;145;179;gbtree;4.680656880307007;58.13594641910219;0.19224332126262564;30000
11;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
12;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
13;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
14;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
15;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
16;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
17;149;209;gbtree;3.3337419923595033;56.98209593400415;0.19093870650824865;30000
