;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Base Seed
0;234,0;49,0;30,0;9,0;0,32394614133351785;30000,0
1;234,0;49,0;30,0;9,0;0,32394614133351785;30000,0
2;234,0;49,0;30,0;9,0;0,32394614133351785;30000,0
3;298,0;116,0;6,0;4,0;0,3220238978472627;30000,0
4;298,0;116,0;6,0;4,0;0,3220238978472627;30000,0
5;38,0;116,0;50,0;4,0;0,31921103990813626;30000,0
6;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
7;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
8;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
9;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
10;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
11;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
12;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
13;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
14;28,0;62,0;6,0;4,0;0,31047784073375573;30000,0
