;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;240;25;dart;178.570642730147;43.891678433572900;0.21741305959915116;20000
1;229;172;gbtree;8.019849719070640;51.363855405096800;0.21215517600390532;20000
2;229;172;gbtree;8.019849719070640;51.363855405096800;0.21215517600390532;20000
3;240;103;dart;178.570642730147;8.476941875755560;0.20998144656370346;20000
4;41;93;dart;16.259220308948600;9.126759867971260;0.20041005807363294;20000
5;41;93;dart;16.259220308948600;9.126759867971260;0.20041005807363294;20000
6;41;93;dart;16.259220308948600;9.126759867971260;0.20041005807363294;20000
7;41;93;dart;16.259220308948600;9.126759867971260;0.20041005807363294;20000
8;240;93;dart;16.259220308948600;9.126759867971260;0.1966298238626065;20000
9;240;93;dart;16.259220308948600;9.126759867971260;0.1966298238626065;20000
10;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
11;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
12;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
13;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
14;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
15;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
16;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
17;155;8;dart;10.180190699205000;8.586305692072980;0.18893053678728305;20000
