;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;279;275;gbtree;10.236852216111602;58.50630603993707;0.20889473288102325;20000
1;279;275;gbtree;10.236852216111602;58.50630603993707;0.20889473288102325;20000
2;279;275;gbtree;10.236852216111602;58.50630603993707;0.20889473288102325;20000
3;279;275;gbtree;10.236852216111602;58.50630603993707;0.20889473288102325;20000
4;295;111;gbtree;1.381258511102189;58.308627020486355;0.2028866374044171;20000
5;251;61;gbtree;3.8160461767274287;55.936950436116085;0.2008498371697435;20000
6;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
7;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
8;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
9;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
10;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
11;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
12;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
13;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
14;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
15;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
16;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
17;231;180;gbtree;4.225501965390404;54.239498776668285;0.1922584550094588;20000
