;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;26;80;52;mish;False;0.3548969073333766
1;163;87;298;linear;False;0.28228044679343595
2;186;43;156;linear;True;0.2574698918651732
3;186;43;156;linear;True;0.2574698918651732
4;186;43;156;linear;True;0.2574698918651732
5;186;43;156;linear;True;0.2574698918651732
6;158;86;298;linear;True;0.2535979901551294
7;158;86;298;linear;True;0.2535979901551294
8;158;86;298;linear;True;0.2535979901551294
9;11;55;168;linear;False;0.24611200946844297
10;11;55;168;linear;False;0.24611200946844297
11;11;55;168;linear;False;0.24611200946844297
12;11;55;168;linear;False;0.24611200946844297
13;11;55;168;linear;False;0.24611200946844297
14;11;55;168;linear;False;0.24611200946844297
15;11;55;168;linear;False;0.24611200946844297
16;11;55;168;linear;False;0.24611200946844297
17;11;55;168;linear;False;0.24611200946844297
