;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;53;23;216;linear;False;0.7187958668120762
1;53;23;216;linear;False;0.7187958668120762
2;71;29;129;mish;True;0.28026554781620827
3;71;29;129;mish;True;0.28026554781620827
4;48;27;225;mish;False;0.27533235096921754
5;48;27;225;mish;False;0.27533235096921754
6;60;23;190;mish;False;0.2700310971581904
7;60;23;190;mish;False;0.2700310971581904
8;60;23;190;mish;False;0.2700310971581904
9;60;23;190;mish;False;0.2700310971581904
10;59;23;196;mish;False;0.23897564237328744
11;59;23;196;mish;False;0.23897564237328744
12;59;23;196;mish;False;0.23897564237328744
13;59;23;189;mish;False;0.22760273348212837
14;59;23;189;mish;False;0.22760273348212837
15;59;23;189;mish;False;0.22760273348212837
15;59;23;189;mish;False;0.22760273348212837
15;59;23;189;mish;False;0.22760273348212837
15;59;23;189;mish;False;0.22760273348212837
15;59;23;189;mish;False;0.22760273348212837
