;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Base Seed
0;151,0;252,0;6,0;9,0;0,32894724933498;20000,0
1;232,0;219,0;18,0;10,0;0,32606210709245076;20000,0
2;232,0;219,0;18,0;10,0;0,32606210709245076;20000,0
3;130,0;127,0;14,0;2,0;0,3213434369504756;20000,0
4;130,0;127,0;14,0;2,0;0,3213434369504756;20000,0
5;187,0;161,0;3,0;5,0;0,31646387630789896;20000,0
6;187,0;161,0;3,0;5,0;0,31646387630789896;20000,0
7;187,0;161,0;3,0;5,0;0,31646387630789896;20000,0
8;241,0;257,0;3,0;2,0;0,31321432897053464;20000,0
9;241,0;257,0;3,0;2,0;0,31321432897053464;20000,0
10;130,0;89,0;3,0;2,0;0,3089000885146973;20000,0
11;130,0;89,0;3,0;2,0;0,3089000885146973;20000,0
12;130,0;89,0;3,0;2,0;0,3089000885146973;20000,0
13;130,0;89,0;3,0;2,0;0,3089000885146973;20000,0
14;130,0;89,0;3,0;2,0;0,3089000885146973;20000,0
