;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;210;31;gbtree;40.65632057617387;84.21565299524659;0.22218822778960656;30000
1;287;21;gbtree;24.944427473624863;88.95097445980622;0.20848600188977673;30000
2;287;21;gbtree;24.944427473624863;88.95097445980622;0.20848600188977673;30000
3;287;21;gbtree;24.944427473624863;88.95097445980622;0.20848600188977673;30000
4;210;31;gbtree;16.02996044395414;43.83768648259213;0.2040784033224609;30000
5;210;31;gbtree;16.02996044395414;43.83768648259213;0.2040784033224609;30000
6;210;31;gbtree;16.02996044395414;43.83768648259213;0.2040784033224609;30000
7;210;31;gbtree;16.02996044395414;43.83768648259213;0.2040784033224609;30000
8;210;31;gbtree;16.02996044395414;43.83768648259213;0.2040784033224609;30000
9;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
10;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
11;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
12;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
13;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
14;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
15;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
16;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
17;58;280;dart;8.262373851479854;3.6072968363033753;0.1964746986807619;30000
