;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;48;53;129;softplus;True;0.39201141882451285
1;48;53;129;softplus;True;0.39201141882451285
2;48;53;129;softplus;True;0.39201141882451285
3;48;53;129;softplus;True;0.39201141882451285
4;178;38;10;linear;True;0.30901145293816407
5;178;38;10;linear;True;0.30901145293816407
6;178;38;10;linear;True;0.30901145293816407
7;178;38;10;linear;True;0.30901145293816407
8;178;38;10;linear;True;0.30901145293816407
9;178;38;10;linear;True;0.30901145293816407
10;29;49;154;softplus;False;0.2964649199869385
11;29;49;154;softplus;False;0.2964649199869385
12;290;64;64;linear;True;0.27492904426657183
13;290;64;64;linear;True;0.27492904426657183
14;290;64;64;linear;True;0.27492904426657183
15;204;60;65;linear;True;0.2566124362031527
16;204;60;65;linear;True;0.2566124362031527
17;206;49;154;linear;False;0.25195339557333696
18;206;49;154;linear;False;0.25195339557333696
19;5;82;53;linear;True;0.24296136514665284
