CLASSES;MLP;RF;XGBoost
3;0,423611111111111;0,4722222222222221;0,3888888888888889
4;0,31249999999999994;0,3333333333333333;0,3263888888888889
5;0,2986111111111111;0,34722222222222215;0,29166666666666663
6;0,24305555555555555;0,21527777777777776;0,2500000000000001
7;0,16666666666666666;0,2083333333333333;0,15972222222222218
8;0,13888888888888887;0,15277777777777776;0,20138888888888892
9;0,11805555555555557;0,16666666666666666;0,16666666666666663
10;0,1875;0,1875;0,13194444444444445
MÉDIA;0,2361111111111111;0,26041666666666663;0,23958333333333334
