CLASSES;MLP;RF;XGBoost
3;0,5104166666666666;0,49652777777777785;0,49652777777777785
4;0,3680555555555556;0,37152777777777773;0,3645833333333334
5;0,3229166666666667;0,27083333333333337;0,31944444444444436
6;0,2638888888888889;0,22916666666666666;0,23958333333333334
7;0,21180555555555558;0,11805555555555557;0,21180555555555555
8;0,1909722222222222;0,07291666666666666;0,20486111111111108
9;0,10763888888888888;0,09027777777777778;0,14236111111111108
10;0,10763888888888885;0,07291666666666666;0,1284722222222222
MÉDIA;0,26041666666666663;0,2152777777777778;0,2634548611111111
