DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-05-29;CORONEL VIVIDA;0;0;1;0
2024-05-30;CORONEL VIVIDA;0;0;1;0
2024-05-31;CORONEL VIVIDA;0;0;1;0
2024-06-01;CORONEL VIVIDA;0;0;1;0
2024-06-02;CORONEL VIVIDA;0;0;1;0
2024-06-03;CORONEL VIVIDA;0;0;1;0
2024-06-04;CORONEL VIVIDA;0;0;1;0
2024-06-05;CORONEL VIVIDA;0;0;1;0
2024-06-06;CORONEL VIVIDA;0;0;1;0
2024-06-07;CORONEL VIVIDA;0;0;1;0
2024-06-08;CORONEL VIVIDA;0;0;1;0
2024-06-09;CORONEL VIVIDA;0;0;1;0
2024-06-10;CORONEL VIVIDA;0;0;1;0
2024-06-11;CORONEL VIVIDA;0;0;1;0
2024-06-12;CORONEL VIVIDA;0;0;1;0
2024-06-13;CORONEL VIVIDA;0;0;1;0
2024-06-14;CORONEL VIVIDA;0;0;1;0
2024-06-15;CORONEL VIVIDA;0;0;1;0
2024-06-16;CORONEL VIVIDA;0;0;1;0
2024-06-17;CORONEL VIVIDA;0;0;1;0
2024-06-18;CORONEL VIVIDA;0;0;1;0
2024-06-19;CORONEL VIVIDA;0;0;1;0
2024-06-20;CORONEL VIVIDA;0;0;1;0
2024-06-21;CORONEL VIVIDA;0;0;1;0
2024-06-22;CORONEL VIVIDA;0;0;1;0
2024-06-23;CORONEL VIVIDA;0;0;1;0
2024-06-24;CORONEL VIVIDA;0;0;1;0
2024-06-25;CORONEL VIVIDA;0;0;1;0
2024-06-26;CORONEL VIVIDA;0;0;1;0
2024-06-27;CORONEL VIVIDA;0;0;1;0
2024-06-28;CORONEL VIVIDA;0;0;1;0
2024-06-29;CORONEL VIVIDA;0;0;1;0
2024-06-30;CORONEL VIVIDA;0;0;1;0
2024-07-01;CORONEL VIVIDA;0;0;1;0
2024-07-02;CORONEL VIVIDA;0;0;1;0
2024-07-03;CORONEL VIVIDA;0;0;1;0
2024-07-04;CORONEL VIVIDA;0;0;1;0
2024-07-05;CORONEL VIVIDA;0;0;1;0
2024-07-06;CORONEL VIVIDA;0;0;1;0
2024-07-07;CORONEL VIVIDA;0;0;1;0
2024-07-08;CORONEL VIVIDA;0;0;1;0
2024-07-09;CORONEL VIVIDA;0;0;1;0
2024-07-10;CORONEL VIVIDA;0;0;1;0
2024-07-11;CORONEL VIVIDA;0;0;1;0
2024-07-12;CORONEL VIVIDA;0;0;1;0
2024-07-13;CORONEL VIVIDA;0;0;1;0
2024-07-14;CORONEL VIVIDA;0;0;1;0
2024-07-15;CORONEL VIVIDA;0;0;1;0
2024-07-16;CORONEL VIVIDA;0;0;1;0
2024-07-17;CORONEL VIVIDA;0;0;1;0
2024-07-18;CORONEL VIVIDA;0;0;1;0
2024-07-19;CORONEL VIVIDA;0;0;1;0
2024-07-20;CORONEL VIVIDA;0;0;1;0
2024-07-21;CORONEL VIVIDA;0;0;1;0
2024-07-22;CORONEL VIVIDA;0;0;1;0
2024-07-23;CORONEL VIVIDA;0;0;1;0
2024-07-24;CORONEL VIVIDA;0;0;1;0
2024-07-25;CORONEL VIVIDA;0;0;1;0
