DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-06-10;ARAPONGAS;0;0;0;1
2024-06-11;ARAPONGAS;0;0;0;1
2024-06-12;ARAPONGAS;0;0;0;1
2024-06-13;ARAPONGAS;0;0;0;1
2024-06-14;ARAPONGAS;0;0;0;1
2024-06-15;ARAPONGAS;0;0;0;1
2024-06-16;ARAPONGAS;0;0;0;1
2024-06-17;ARAPONGAS;0;0;0;1
2024-06-18;ARAPONGAS;0;0;0;1
2024-06-19;ARAPONGAS;0;0;0;1
2024-06-20;ARAPONGAS;0;0;0;1
2024-06-21;ARAPONGAS;0;0;0;1
2024-06-22;ARAPONGAS;0;0;0;1
2024-06-23;ARAPONGAS;0;0;0;1
2024-06-24;ARAPONGAS;0;0;0;1
2024-06-25;ARAPONGAS;0;0;0;1
2024-06-26;ARAPONGAS;0;0;0;1
2024-06-27;ARAPONGAS;0;0;0;1
2024-06-28;ARAPONGAS;0;0;0;1
2024-06-29;ARAPONGAS;0;0;0;1
2024-06-30;ARAPONGAS;0;0;0;1
2024-07-01;ARAPONGAS;0;0;0;1
2024-07-02;ARAPONGAS;0;0;0;1
2024-07-03;ARAPONGAS;0;0;0;1
2024-07-04;ARAPONGAS;0;0;0;1
2024-07-05;ARAPONGAS;0;0;0;1
2024-07-06;ARAPONGAS;0;0;0;1
2024-07-07;ARAPONGAS;0;0;0;1
2024-07-08;ARAPONGAS;0;0;0;1
2024-07-09;ARAPONGAS;0;0;0;1
2024-07-10;ARAPONGAS;0;0;0;1
2024-07-11;ARAPONGAS;0;0;0;1
2024-07-12;ARAPONGAS;0;0;0;1
2024-07-13;ARAPONGAS;0;0;0;1
2024-07-14;ARAPONGAS;0;0;0;1
2024-07-15;ARAPONGAS;0;0;0;1
2024-07-16;ARAPONGAS;0;0;0;1
2024-07-17;ARAPONGAS;0;0;0;1
2024-07-18;ARAPONGAS;0;0;0;1
2024-07-19;ARAPONGAS;0;0;0;1
2024-07-20;ARAPONGAS;0;0;0;1
2024-07-21;ARAPONGAS;0;0;0;1
