;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;SA;RF;5;1000;229.0;352.0;8.0;27.0;-0.1
1;SA;RF;5;1000;190.0;42.0;31.0;12.0;-0.125
2;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
3;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
4;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
5;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
6;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
7;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
8;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
9;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
10;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
11;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
12;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
13;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
14;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
15;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
16;SA;RF;5;1000;283.0;233.0;10.0;16.0;-0.175
17;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
18;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
19;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
20;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
21;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
22;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
23;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
24;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
25;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
26;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
27;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
28;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
29;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
30;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
31;SA;RF;5;1000;116.0;68.0;20.0;3.0;-0.2
32;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
33;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
34;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
35;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
36;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
37;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
38;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
39;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
40;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
41;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
42;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
43;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
44;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
45;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
46;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
47;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
48;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
49;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
50;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
51;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
52;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
53;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
54;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
55;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
56;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
57;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
58;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
59;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
60;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
61;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
62;SA;RF;5;1000;65.0;99.0;21.0;2.0;-0.3
