;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
1130;SA;XGBoost;5;6000;99;151;gbtree;0.925;0.225;-0.45
1131;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1132;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1133;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1134;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1135;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1136;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1137;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1138;SA;XGBoost;5;6000;177;388;gbtree;0.065;0.485;-0.45
1139;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1140;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1141;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1142;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1143;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1144;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1145;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1146;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1147;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1148;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1149;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1150;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1151;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1152;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1153;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1154;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1155;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1156;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1157;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1158;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1159;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1160;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1161;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1162;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1163;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1164;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1165;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1166;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1167;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1168;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1169;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1170;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1171;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1172;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1173;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1174;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1175;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1176;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1177;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1178;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1179;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1180;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1181;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1182;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1183;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1184;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1185;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1186;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1187;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1188;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1189;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1190;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1191;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1192;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1193;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1194;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1195;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1196;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1197;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1198;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1199;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1200;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1201;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1202;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1203;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1204;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1205;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1206;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1207;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1208;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1209;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1210;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1211;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1212;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1213;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1214;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1215;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1216;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1217;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1218;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1219;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1220;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1221;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1222;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1223;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1224;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1225;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1226;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1227;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1228;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
1229;SA;XGBoost;5;6000;268;191;gbtree;0.06;0.945;-0.475
