;Hidden Layers;Alpha;Activation;Fitness
0;219;0.53;relu;-0.275
1;373;0.31;tanh;-0.325
2;373;0.31;tanh;-0.325
3;373;0.31;tanh;-0.325
4;373;0.31;tanh;-0.325
5;174;0.1;identity;-0.35000000000000003
6;174;0.1;identity;-0.35000000000000003
7;174;0.1;identity;-0.35000000000000003
8;174;0.1;identity;-0.35000000000000003
9;174;0.1;identity;-0.35000000000000003
10;174;0.1;identity;-0.35000000000000003
11;174;0.1;identity;-0.35000000000000003
12;174;0.1;identity;-0.35000000000000003
13;174;0.1;identity;-0.35000000000000003
14;174;0.1;identity;-0.35000000000000003
15;174;0.1;identity;-0.35000000000000003
16;174;0.1;identity;-0.35000000000000003
17;174;0.1;identity;-0.35000000000000003
18;174;0.1;identity;-0.35000000000000003
19;174;0.1;identity;-0.35000000000000003
20;174;0.1;identity;-0.35000000000000003
21;174;0.1;identity;-0.35000000000000003
22;174;0.1;identity;-0.35000000000000003
23;174;0.1;identity;-0.35000000000000003
24;174;0.1;identity;-0.35000000000000003
25;174;0.1;identity;-0.35000000000000003
26;174;0.1;identity;-0.35000000000000003
27;198;0.63;identity;-0.375
28;198;0.63;identity;-0.375
29;198;0.63;identity;-0.375
30;198;0.63;identity;-0.375
31;198;0.63;identity;-0.375
32;198;0.63;identity;-0.375
33;198;0.63;identity;-0.375
34;198;0.63;identity;-0.375
35;198;0.63;identity;-0.375
36;198;0.63;identity;-0.375
37;198;0.63;identity;-0.375
38;198;0.63;identity;-0.375
39;198;0.63;identity;-0.375
40;198;0.63;identity;-0.375
41;198;0.63;identity;-0.375
42;198;0.63;identity;-0.375
43;198;0.63;identity;-0.375
44;198;0.63;identity;-0.375
45;198;0.63;identity;-0.375
46;198;0.63;identity;-0.375
47;198;0.63;identity;-0.375
48;198;0.63;identity;-0.375
49;198;0.63;identity;-0.375
50;198;0.63;identity;-0.375
51;198;0.63;identity;-0.375
52;198;0.63;identity;-0.375
53;198;0.63;identity;-0.375
54;198;0.63;identity;-0.375
55;198;0.63;identity;-0.375
