;Units;Epochs;Batch Size;Activation;Fitness
0;72;263;231;tanh;-0.18333333333333335
1;72;263;231;tanh;-0.18333333333333335
2;115;143;141;tanh;-0.2166666666666667
3;115;143;141;tanh;-0.2166666666666667
4;115;143;141;tanh;-0.2166666666666667
5;112;15;219;softplus;-0.25
6;112;15;219;softplus;-0.25
7;112;15;219;softplus;-0.25
8;112;15;219;softplus;-0.25
9;112;15;219;softplus;-0.25
10;112;15;219;softplus;-0.25
11;112;15;219;softplus;-0.25
12;112;15;219;softplus;-0.25
13;112;15;219;softplus;-0.25
14;112;15;219;softplus;-0.25
