DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2024-08-31;16318.082611963375;13227.667381642063;15388.989491554199;15443.646;15443.605821101091
2024-09-30;19555.902449157158;21019.401975557317;21465.906099086103;21575.62;21575.36881294906
2024-10-31;23508.104456157012;24982.140477212346;26501.572540955774;23280.137;23281.411939690013
