;MAPE;RRMSE
ESN;0.2236295016633433;0.29309870236550334
MLP;0.23108066300873772;0.2393612784128222
RF;0.1680096038876795;0.1978600567919358
XGBoost;0.20222978175468498;0.21854704347811132
WSB-LOCAL;0.19205775637826009;0.20893827183278502
WSB-GLOBAL;0.19205775637826009;0.20893827183278502
