DATA;MLP;RF;XGBoost
2023-11-30;5;5;5
2023-12-31;4;3;4
2024-01-31;1;1;0
2024-02-29;4;4;2
2024-03-31;3;3;5
2024-04-30;5;6;6
2024-05-31;4;5;6
2024-06-30;4;2;3
2024-07-31;2;1;1
2024-08-31;2;2;2
2024-09-30;2;4;2
2024-10-31;4;5;6
