DATA;MLP;RF;XGBoost
2023-11-30;4;5;4
2023-12-31;5;3;5
2024-01-31;1;3;1
2024-02-29;3;3;3
2024-03-31;3;3;1
2024-04-30;5;3;4
2024-05-31;5;6;6
2024-06-30;3;5;5
2024-07-31;1;6;3
2024-08-31;6;6;6
2024-09-30;4;3;5
2024-10-31;4;5;6
