DATA;MLP;RF;XGBoost
2023-11-30;6;6;6
2023-12-31;6;2;6
2024-01-31;2;2;2
2024-02-29;2;2;2
2024-03-31;4;2;2
2024-04-30;5;2;2
2024-05-31;6;5;4
2024-06-30;4;4;4
2024-07-31;3;4;4
2024-08-31;4;4;3
2024-09-30;4;5;6
2024-10-31;4;5;5
