DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;25799.93894032677;30898.371746469817;27114.83565275029;25272.58;25799.93894032677
2023-12-31;32480.030657818068;33048.426162117044;30766.263775674914;30339.05;32476.978982967048
2024-01-31;23017.24854986967;27745.71474613883;26411.200711380145;25700.271;23027.996065047784
2024-02-29;28816.213091452104;32252.526254013334;30845.04508531112;32633.535;28833.440474573486
2024-03-31;35844.06378708059;34311.294521369186;34336.45644322164;32724.264;35834.43592781696
2024-04-30;26790.591156381226;33562.21441843373;30504.00506779209;26719.1;26819.98901651323
2024-05-31;25864.46562337244;31009.39347764453;27619.1355265475;26841.37;25877.440593300722
2024-06-30;17267.137575915654;24019.11377213745;23721.785280466458;20148.121;17340.324283365764
2024-07-31;14748.723888621147;21677.5628587086;17252.193655815612;22301.42;14840.4402769696
2024-08-31;21669.50242255178;27537.781565577327;20292.08983276473;20159.395;21648.928839820503
2024-09-30;20283.258258001675;26519.302567570463;24360.946040232444;24855.174;20351.734286375777
2024-10-31;22413.366230355987;27966.011437996724;27009.412521415492;27846.902;22509.037557059535
