DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;14505.014163712873;16037.673498120057;13028.749791723545;14964.951;14505.014163712873
2023-12-31;13837.807467085013;15490.205921386021;13445.331341047495;12958.44;13822.028980546653
2024-01-31;6133.7827269354575;12251.766490675773;7526.899155564168;7166.194;6263.7987884376125
2024-02-29;8549.629712845366;13067.461062265425;9130.043437059257;9384.579;8663.431699070083
2024-03-31;12908.141192969677;13996.274080621391;15046.713921065028;14798.104;13387.047624333607
2024-04-30;14971.639534509946;14941.019490437502;16200.842937444051;17542.246;15132.259337331545
2024-05-31;12198.215098394712;16317.200417598466;14103.811095395356;11983.872;12470.184816797659
2024-06-30;4244.8544393013;11079.3737070357;9519.14939520237;8977.769;7061.05175836205
2024-07-31;5653.73316377126;9779.901307370243;5993.9726502812055;8279.015;6607.50191218699
2024-08-31;10777.458336586644;13151.056371812114;9266.889506947355;10365.896;10628.546546665748
2024-09-30;8217.03981166913;11701.589859759199;10261.662618538849;9967.973;9742.944417698278
2024-10-31;12864.355467841873;13873.777764205433;14225.511433401103;14971.994;13912.688046148278
