DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;13996.645722973131;15590.161285578373;12521.397932062517;13993.317;13996.645722973131
2023-12-31;14181.703970419025;14998.21797836;13762.19163290424;13037.622;14165.79745771308
2024-01-31;9307.24322114515;12739.578323623517;10045.600791882607;9571.155;9357.913513639656
2024-02-29;9949.291593124126;13478.46254511564;11883.82946643742;13577.617;10638.771029144471
2024-03-31;15502.550502660268;14573.268326915928;14388.536839733799;14363.677;15180.797690199224
2024-04-30;14153.489406091889;14842.428281439097;15228.114615898772;14253.048;14302.975392511411
2024-05-31;11293.663876740857;15302.070580202715;11703.318360653635;11206.085;11342.512085775406
2024-06-30;6805.643057250161;11331.661647828918;9328.386401397105;11085.677;8810.210830853024
2024-07-31;6994.806251932893;10143.074872165751;7691.5946923534975;7554.6147;7248.918142117461
2024-08-31;11608.856435218482;12796.247425838492;10416.564049117143;10668.817;11288.06793527672
2024-09-30;11023.346934600067;12820.89628522091;11640.633289345044;11184.472;11220.112190680202
2024-10-31;12949.941202146201;13579.39786550455;14438.359972290276;12159.764;13212.477138994998
