DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;30861.47500607026;32326.03547781713;27424.248961278634;30519.463;30861.47500607026
2023-12-31;32216.231522066308;33590.84993683269;26489.129888420743;22141.723;31744.22289576002
2024-01-31;21296.723729499685;28135.412655742955;24645.349038993598;23486.598;21753.188277839574
2024-02-29;20749.41381151899;28937.643387933986;24468.788180764277;24254.295;21642.51221787718
2024-03-31;34098.78939372182;31092.484516370645;29399.493646642964;27508.887;32549.58822910149
2024-04-30;27169.42618429838;31076.876300941905;29700.224912478745;31532.5;28873.49900644727
2024-05-31;27791.893596237474;31541.713810918634;27842.278581385857;27899.324;27830.913440844597
2024-06-30;11716.385064997541;22584.458857615733;17171.606193984622;14709.122;14863.593054662339
2024-07-31;11858.260238645045;20462.75334987424;11994.442315445067;12347.98;12064.599449848265
2024-08-31;18750.29630789315;24259.21418809731;15790.494591604114;18535.084;18590.66232045414
2024-09-30;18795.416413101826;24872.57094213174;21743.399564155196;21780.695;21240.41508570914
2024-10-31;23960.506161534646;27710.94964042012;28993.085168440582;31641.746;28522.95841287879
