DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;10440.458176342489;11656.945157832544;9670.734486203239;10312.913;10440.458176342489;10440.458176342489
2023-12-31;10280.768286902154;11626.500768674327;9040.655708383556;8887.436;10172.248374524777;10172.248374524777
2024-01-31;7121.478430671212;10278.885887095352;7305.144715802572;6914.1445;7119.527820153713;7119.527820153713
2024-02-29;7614.535594960743;9965.216865919974;8810.300147050075;8056.2856;7910.1883804648305;7910.1883804648305
2024-03-31;11153.11503424151;11273.939789895552;11280.779382561264;10621.655;11194.074321546525;11194.074321546525
2024-04-30;10135.116880985064;11517.859919617113;10984.792980692864;11206.402;10576.575596986033;10576.575596986033
2024-05-31;10489.337641546763;11982.428642208577;10668.775793171579;12014.661;11235.64060903963;11235.64060903963
2024-06-30;5093.673926133071;9028.118714177403;7149.305502613417;5992.909;6279.602043130857;6279.602043130857
2024-07-31;5954.046150931166;8579.572282894276;5915.533126829615;6981.1133;6631.225619075793;6631.225619075793
2024-08-31;10485.827678704498;10488.8553694813;10762.769954242976;10507.201;10494.877209007504;10494.877209007504
2024-09-30;9334.784161218353;10813.255292825472;11723.390997387089;12309.231;11303.394295360753;11303.394295360753
2024-10-31;9882.040133728247;11406.692183644102;10445.171492935768;11056.384;10946.680140139397;10946.680140139397
