DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;6620.769543776294;7453.165852392606;6591.591185724701;5959.0156;6620.769543776294
2023-12-31;6384.2780114915795;7239.664634123476;6943.1558299195685;5805.1113;6406.611604123317
2024-01-31;3899.7998287509067;6077.378674455817;4784.828150639067;4141.808;3955.7041177501756
2024-02-29;5037.816121901589;6422.290586588337;5327.202911616237;5853.923;5115.142234435305
2024-03-31;6017.2334379758295;6635.227514004435;7323.496131499496;7275.0166;6179.195680363259
2024-04-30;6387.054897800169;7009.751919382126;7633.6267426579125;7974.264;6583.90936830062
2024-05-31;6211.875418753509;7400.027848326523;6814.022440134931;5810.801;6325.982279305289
2024-06-30;3415.362950208112;5440.079600224594;5395.742725967693;6669.891;3858.092984274108
2024-07-31;3036.7419994055113;4873.401306978858;4153.924432037868;3398.2434;3319.016760717287
2024-08-31;4555.950541442354;6070.564909840147;3586.4642693081764;4111.729;4355.027321347989
2024-09-30;4200.794199866244;5895.487946289176;4622.41748696298;5321.6655;4554.802771709699
2024-10-31;5021.042194119459;6442.641188449077;5536.373706899278;5196.386;5200.076950517715
