DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;29396.24186449482;30423.731149941064;25166.242911832825;25199.05;29396.24186449482
2023-12-31;27653.518101948;31860.864130924976;22766.039699393634;22622.852;27652.278333806655
2024-01-31;16026.669147323437;23720.99050338756;17384.796001990493;16841.02;16027.21226686915
2024-02-29;17428.986094943302;25452.45277176306;19943.472373856788;22560.354;17432.834621415983
2024-03-31;24816.272177266088;26563.44524182174;25255.502508174803;23484.416;24816.711407597
2024-04-30;24891.816170182465;27763.94992790357;26535.135855037257;27956.326;24895.5265722755
2024-05-31;12226.057334112298;24995.523683434367;19142.06054945585;20682.732;12237.586844084843
2024-06-30;12920.627475284948;19509.06982323504;12884.067749870721;16733.854;12927.300623020978
2024-07-31;9472.1419314064;18858.420539081177;11302.477232705389;11871.71;9476.37183476189
2024-08-31;18747.929272768004;23877.520237250556;17168.170062440222;17239.326;18744.454866698616
2024-09-30;14357.761595517088;21635.84641067514;15420.66040285297;16109.328;14361.279676728524
2024-10-31;20945.458885419735;25438.16683793488;22666.305053160806;20493.322;20950.19121238102
