DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;17222.313454091436;21121.971835027234;13110.106482040941;13892.73;17222.313454091436
2023-12-31;15504.16828161378;20226.696664225783;14997.373925152748;16677.424;15600.864072027645
2024-01-31;8916.60831987804;15741.176774831507;9406.045391158865;10297.374;9070.744237742732
2024-02-29;12411.783252329677;17857.445594516423;9737.163912285054;10929.293;11897.860578778698
2024-03-31;16297.669063393987;19766.68728535142;14430.998480436943;15044.539;15783.421868094414
2024-04-30;16082.480511410291;19706.015766142147;18734.03202980971;16984.574;17175.140699617383
2024-05-31;14678.527093709909;21683.439709036476;15090.644438075948;15337.443;14943.340064629752
2024-06-30;13317.199054608649;17841.960652704594;13676.13578132494;14797.835;14171.402619658948
2024-07-31;12857.070137089255;17113.28263410925;12832.974710017304;14328.244;13827.064353558146
2024-08-31;20763.22237206871;22434.66379655054;20157.16903060127;18995.19;20313.68230603524
2024-09-30;18331.927740034625;21413.735243415133;16903.42800727949;16539.084;17004.465836908155
2024-10-31;19243.32422486346;21998.64114901481;16628.51758321416;16912.654;17001.580730587215
