DATA;ESN;LSTM;MLP;RF;XGBoost
2024-05-31;7961.674242842361;5380.956;6170.6143;5104.1333;4426.7437
2024-06-30;7690.81096736494;5437.276;5742.072;4905.936;4971.26
2024-07-31;5879.179104900707;5355.828;5270.982;4403.1226;4777.278
2024-08-31;8588.668771424098;5386.7314;5701.353;4917.9814;4830.092
2024-09-30;7954.447908919011;5383.993;5518.6133;4962.955;4736.6655
2024-10-31;5830.76456116483;5396.11;6081.6187;5076.647;5559.234
