DATA;LSTM
2023-11-30;11340.532
2023-12-31;10992.186
2024-01-31;10237.865
2024-02-29;11030.54
2024-03-31;11568.993
2024-04-30;11264.385
2024-05-31;11734.809
2024-06-30;11453.199
2024-07-31;12478.281
2024-08-31;13141.275
2024-09-30;10747.533
2024-10-31;10593.559
