CLASSES;MLP;RF;XGBoost
3;0.576388888888889;0.5902777777777778;0.6041666666666666
4;0.4895833333333333;0.5138888888888888;0.44791666666666674
5;0.25000000000000006;0.4791666666666667;0.46875000000000006
6;0.4305555555555555;0.37500000000000006;0.39930555555555575
7;0.2673611111111111;0.34027777777777773;0.2986111111111111
8;0.2673611111111111;0.27777777777777773;0.3333333333333334
9;0.17013888888888887;0.20833333333333337;0.2465277777777777
10;0.20486111111111113;0.1875;0.25
MÉDIA;0.33203125;0.3715277777777778;0.38107638888888895
