DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;3385.837835622705;3863.030841708047;3365.0393701070175;2828.4573;2828.457379937172;2828.457379937172
2023-12-31;2028.6588923416346;3720.32027164027;2790.5511497761495;3036.6746;3016.3693521427826;3016.3693521427826
2024-01-31;3105.983133796723;2337.794516075613;3186.421627283392;2829.966;2882.1449766770443;2882.1449766770443
2024-02-29;3326.8907442256395;3092.4437058107414;2806.5960813043166;2599.1877;2721.2686133574693;2721.2686133574693
2024-03-31;2998.0060973623927;3583.6904745045385;2874.954019129019;3087.1755;3037.445958758632;3037.445958758632
2024-04-30;4108.107542904694;3557.1763714150943;3384.8262888037884;2997.8967;3193.0523141664285;3193.0523141664285
2024-05-31;3109.6343822350564;3837.951285792677;3138.672019679667;3578.5737;3353.635504307077;3353.635504307077
2024-06-30;3271.950897232061;3350.84801446258;2444.7523461179344;2706.5583;3055.854153547155;3055.854153547155
2024-07-31;1948.1761920523643;2588.3272593484753;2766.691111829347;2933.6821;2764.607994078523;2764.607994078523
2024-08-31;3660.3951611481007;3650.7575978109685;3627.7523142489313;3656.6113;3652.2649544706014;3652.2649544706014
2024-09-30;2939.3844249804706;3653.859573328482;3084.526309823074;2990.3435;3008.1733068399776;3008.1733068399776
2024-10-31;2684.9098520882358;3387.6615937487677;3208.7254812181286;2643.642;3237.647542081922;3237.647542081922
