DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;10457.59989553667;11417.317148573604;8830.395866448367;9936.05;9936.049754530191;9936.049754530191
2023-12-31;9321.014334407973;11105.922628482607;8815.504199781699;8179.335;8252.597007662504;8252.597007662504
2024-01-31;9620.189678360748;7558.094609053842;8323.659892607391;8024.646;8073.933521965663;8073.933521965663
2024-02-29;9871.975713777627;9727.223215656491;7386.165901496164;8255.043;8636.93448084258;8636.93448084258
2024-03-31;12668.430760030715;10543.430873615878;8736.675852203352;9017.772;9520.730961468236;9520.730961468236
2024-04-30;11083.109700132753;10045.22769265331;8611.481984959486;9728.648;9859.10550267975;9859.10550267975
2024-05-31;10352.268410988168;9398.249517358081;8287.016116753617;8507.914;8948.184959540444;8948.184959540444
2024-06-30;5507.0779516654575;8229.946699222097;6948.246159941423;7497.8306;7180.766169120586;7180.766169120586
2024-07-31;6563.0388792956355;7406.929303162205;5366.529145854146;4773.278;5953.32699132142;5953.32699132142
2024-08-31;8922.267022790107;6726.031894052053;6865.847558552558;6892.589;6820.899362902968;6820.899362902968
2024-09-30;9639.998150329659;9677.995988654297;7018.770393310394;7103.8184;9209.711433467142;9209.711433467142
2024-10-31;9051.271801597903;8580.470082628815;8100.248145743145;7811.3135;8508.617990342778;8508.617990342778
