DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;9955.96044099543;10307.838954431449;10208.08850820204;10110.365;10110.364936351776
2023-12-31;7169.082728927325;9414.83569885171;9534.652523178576;9439.001;9441.001576684279
2024-01-31;2553.9751810142357;2700.0691429314943;6457.582798127798;5072.2915;4798.569240152685
2024-02-29;5061.276738839891;6155.98568917869;4338.692633755133;3844.2505;4059.77901128784
2024-03-31;6820.303941045752;7666.570337460803;9554.197938357936;8677.792;8507.998636528913
2024-04-30;7832.7237883352855;8477.39842637104;9848.717727131258;9280.08;9111.607725411543
2024-05-31;7784.166680104236;9518.878748638399;10355.84458303593;9787.826;9720.087861953587
2024-06-30;6704.588623708187;8084.155975581614;3964.836869149369;3403.259;4538.340460997552
2024-07-31;5533.485048912377;6187.078862567504;3964.836869149369;3366.276;4295.072723384162
2024-08-31;8143.425956483184;9100.86637903835;10328.14929181929;9973.737;9643.970012271051
2024-09-30;6394.173347427263;8977.638069780882;9575.431919707973;9327.915;9299.157625643116
2024-10-31;6378.753446152099;9287.005091296205;10185.87012536397;9560.653;9668.877743507335
