;MAPE;RRMSE
ESN;0.7291910531290947;0.6874536796038011
MLP;0.19848855485112452;0.21290137020162234
RF;0.2581148526115006;0.2733053936420864
XGBoost;0.23406011119246928;0.2854481172454167
WSB-LOCAL;0.24766597587056519;0.27314927004585804
WSB-GLOBAL;0.24766597587056519;0.27314927004585804
