DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;6977.666627795342;7422.697249464678;5965.1530307383255;5730.0874;5730.087405323982
2023-12-31;9107.73807606975;9210.657914897523;5820.809648009943;7232.5996;7391.38330653278
2024-01-31;3088.796405084473;5460.070892240332;5826.236775142069;4977.236;5087.001355375838
2024-02-29;6046.1600437559455;8511.87446001353;6225.328372248668;5952.352;5997.695712815996
2024-03-31;6290.109968320894;8496.56114997903;8112.677034909535;8227.568;8252.969515200324
2024-04-30;3632.312518786783;7795.2613462938125;8096.737140729641;7553.8955;7715.474794711999
2024-05-31;4228.4705983595295;6867.3386281080675;5763.990789183584;5235.917;5497.049493012529
2024-06-30;1631.9539598063443;5702.247433233506;5402.794105681901;4076.3528;4927.978814674313
2024-07-31;-92.39103496472805;2502.3648371038394;4777.622172337466;5372.6;3480.158328363282
2024-08-31;1880.073228323873;6252.952361756139;5446.439077197313;5512.908;5762.720427770464
2024-09-30;1339.6460974041556;7755.532706601104;5546.903357818653;5420.913;5524.750054873555
2024-10-31;6942.247064318354;7693.424905073842;6518.926327098828;8044.489;7045.214777183734
