DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;6676.289853992691;5833.889809906321;6510.462806637806;6499.9746;6499.9748331308365
2023-12-31;6038.707010020868;6542.431696306845;6770.540862193362;8439.244;8291.937402658816
2024-01-31;1003.1140462161152;3722.713185311841;6140.082675010175;5749.324;5659.212008417047
2024-02-29;3033.3915905172116;6098.277621935708;5854.92581113331;6060.8403;6046.919441232429
2024-03-31;5193.4241949133175;7071.6923331012285;6228.473920801421;5966.5874;6009.866209191903
2024-04-30;3465.291138218189;6862.254621727132;7750.172579365079;8900.743;8241.97322544394
2024-05-31;536.2443589080534;5813.438822741687;6473.562171717171;4025.571;4725.5785459665285
2024-06-30;-307.71081821249106;5426.767752348807;4876.889008710588;4574.463;4797.095788291593
2024-07-31;-2689.249680041916;2618.5631315440373;3130.7947666291398;2778.2983;2820.771943463867
2024-08-31;-947.9656610357794;3520.474753484982;3263.6380999624735;3089.6118;3239.5556238744066
2024-09-30;1742.1006933201745;5494.166276292666;5154.6490087105885;5314.525;5319.968807566339
2024-10-31;1518.9950839812768;5852.310472389116;5439.805872587452;6252.3506;5884.971335227521
