DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;13970.128169555497;14751.761890248417;13334.049569858244;14181.772;14181.771879851818;14181.771879851818
2023-12-31;11516.575265062575;15320.703754269338;13431.367649843563;13053.447;13084.940318394889;13084.940318394889
2024-01-31;4444.683356365672;8469.189774743829;8523.86651015651;10269.694;9974.167299156043;9974.167299156043
2024-02-29;11791.416600453895;14706.994918006085;8977.31047841048;10828.123;11068.94688925595;11068.94688925595
2024-03-31;15910.216562217407;16447.796666795177;13556.664011359011;13101.017;14127.013226330297;14127.013226330297
2024-04-30;13673.676977262556;15463.16355471029;15969.605864527632;15852.9;15796.018624856437;15796.018624856437
2024-05-31;6275.529545264884;13590.607193009631;11232.414027247263;10121.674;10677.043612675585;10677.043612675585
2024-06-30;3989.579045553638;11930.28559770899;7207.12315961816;7053.7866;7143.232817153703;7143.232817153703
2024-07-31;5053.418340324083;6279.570476376504;8561.99687090687;7656.5747;6738.5717758393885;6738.5717758393885
2024-08-31;9947.856844040884;10903.16754169662;8662.362624553809;11045.846;10222.354073042523;10222.354073042523
2024-09-30;9775.486089737566;14394.93262787365;9179.987541581228;11349.016;9789.616591536496;9789.616591536496
2024-10-31;10675.938422310455;16174.534118973235;13177.330177316087;13388.121;13194.896096466251;13194.896096466251
