DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;6059.318645155637;5106.5727857368065;4706.898556166057;4790.597;4790.597380042076
2023-12-31;5882.021488271877;5575.7996743665335;4838.736675176676;4568.649;4621.681044477384
2024-01-31;3503.453799377755;3807.4075532152156;4441.682670755171;3579.9358;3588.2947804520095
2024-02-29;4746.40625208822;5354.597563091764;4379.25125966626;4576.6006;4597.752064108206
2024-03-31;6380.737460779041;5664.949329162045;4792.8757834757835;4772.9033;4873.883960977645
2024-04-30;4552.5508124108455;5267.069716009975;5077.895906500907;4681.035;4763.425300624081
2024-05-31;5039.473319341808;5413.617070984253;4894.429101965572;4706.001;4836.019407048349
2024-06-30;3986.7517120016237;5196.330344944908;4924.931882148353;4754.494;4804.031344071273
2024-07-31;3111.2906764220825;4551.300095367663;4263.8124147638855;3140.2522;3513.461700509858
2024-08-31;4172.848620215517;4117.926057797984;4783.532466422466;4629.186;4458.658414492399
2024-09-30;4316.751164235168;5949.855371048294;4951.372482702483;4087.254;4541.332672186642
2024-10-31;5289.781426173997;5473.546257453642;5200.33938024938;4319.3125;5234.516108968907
