DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;21617.36252592811;17141.18979248302;14340.848337938864;14708.544;14708.544054389
2023-12-31;22156.946819724115;15177.299989550716;12260.459032176403;14792.364;14820.047981235106
2024-01-31;27378.29284175279;7414.522811998432;12886.06488597173;14934.248;14639.650759994927
2024-02-29;24532.359497020705;12935.295822193031;11710.664481931326;19672.008;18086.455596333777
2024-03-31;33548.65966829399;15632.375337251626;14923.043020429861;13719.984;14168.089491085597
2024-04-30;22824.59366884043;14965.774716886572;15011.116718817248;14743.644;14831.670351687617
2024-05-31;38855.36815762193;17136.93791659175;14023.083996743997;14982.029;15240.058293144197
2024-06-30;37476.24913091848;15329.593937284304;14327.447778147778;15065.423;14946.162455713702
2024-07-31;26323.624412014804;16725.572300202715;14614.280456950459;15407.535;15558.497514155102
2024-08-31;30045.0794311381;17564.088845239305;17430.03323351456;20695.508;18625.312858788227
2024-09-30;19768.306266222924;15552.453848100515;17171.22167277969;14737.355;16487.710934135797
2024-10-31;20164.846075307498;15887.668366180942;17817.048151856172;15184.051;17266.971076579764
