DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;22301.63548383611;20463.695345902233;17215.16849537889;19683.023;19683.022332787514
2023-12-31;21357.343931629206;20302.827344309237;14911.016340126733;14780.327;15279.432541556858
2024-01-31;11559.178519321144;16174.164401641901;16660.175939416327;12150.122;12854.185210407044
2024-02-29;14147.3961790019;16444.11002452505;16148.654810483631;17710.18;17360.26602862331
2024-03-31;21243.575093286305;20032.158646462383;17922.751677752065;18231.074;18825.432321502514
2024-04-30;15563.368640932353;18505.78711847565;18313.53138886884;18430.332;18421.80523046368
2024-05-31;15171.219466679036;19352.325038821913;17807.46378510378;15328.86;16555.768824148625
2024-06-30;12229.424718047703;16510.489383185308;15241.488886483887;15373.472;15297.251359494367
2024-07-31;12495.549120808137;14579.416046889042;14230.407190674248;14493.466;14435.020024381767
2024-08-31;18234.33060207865;13799.846411166835;17761.823514520966;18322.686;18081.664095274646
2024-09-30;11884.03566464447;18718.68962713752;16517.88822990362;15959.415;16420.155443056487
2024-10-31;13053.191634577317;19030.16317137657;15956.53759498299;14316.162;15804.80286614798
