DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;9955.96044099543;10307.838954431449;10208.08850820204;10110.365;10110.364936351776
2023-12-31;7169.082728927325;9414.83569885171;9534.652523178576;9439.001;9441.657947333417
2024-01-31;2553.9751810142357;2700.0691429314943;6457.582798127798;5072.2915;4708.761440172866
2024-02-29;5061.276738839891;6155.98568917869;4338.692633755133;3844.2505;4115.647322519196
2024-03-31;6820.303941045752;7666.570337460803;9554.197938357936;8677.792;8377.122190297789
2024-04-30;7832.7237883352855;8477.39842637104;9848.717727131258;9280.08;8981.749864156744
2024-05-31;7784.166680104236;9518.878748638399;10355.84458303593;9787.826;9667.875497943247
2024-06-30;6704.588623708187;8084.155975581614;3964.836869149369;3403.259;5121.050939498658
2024-07-31;5533.485048912377;6187.078862567504;3964.836869149369;3366.276;4655.042945879983
2024-08-31;8143.425956483184;9100.86637903835;10328.14929181929;9973.737;9389.786498344827
2024-09-30;6394.173347427263;8977.638069780882;9575.431919707973;9327.915;9289.722463893315
2024-10-31;6378.753446152099;9287.005091296205;10185.87012536397;9560.653;9704.386172837372
