;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
900;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
901;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
902;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
903;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
904;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
905;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
906;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
907;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
908;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
909;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
910;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
911;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
912;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
913;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
914;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
915;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
916;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
917;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
918;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
919;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
920;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
921;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
922;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
923;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
924;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
925;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
926;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
927;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
928;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
929;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
930;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
931;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
932;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
933;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
934;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
935;PSO;XGBoost;5000;226;118;gbtree;0.866;0.148;0.286
