;OTIMIZADOR;MODELO;SEED;Hidden Layers;Alpha;Activation;Fitness
2025;PSO;MLP;10000;220;0.776;relu;0.231
2026;PSO;MLP;10000;220;0.776;relu;0.231
2027;PSO;MLP;10000;220;0.776;relu;0.231
2028;PSO;MLP;10000;220;0.776;relu;0.231
2029;PSO;MLP;10000;220;0.776;relu;0.231
2030;PSO;MLP;10000;220;0.776;relu;0.231
2031;PSO;MLP;10000;220;0.776;relu;0.231
2032;PSO;MLP;10000;220;0.776;relu;0.231
2033;PSO;MLP;10000;220;0.776;relu;0.231
2034;PSO;MLP;10000;220;0.776;relu;0.231
2035;PSO;MLP;10000;220;0.776;relu;0.231
2036;PSO;MLP;10000;220;0.776;relu;0.231
2037;PSO;MLP;10000;220;0.776;relu;0.231
2038;PSO;MLP;10000;220;0.776;relu;0.231
2039;PSO;MLP;10000;220;0.776;relu;0.231
2040;PSO;MLP;10000;220;0.776;relu;0.231
2041;PSO;MLP;10000;220;0.776;relu;0.231
2042;PSO;MLP;10000;220;0.776;relu;0.231
2043;PSO;MLP;10000;220;0.776;relu;0.231
2044;PSO;MLP;10000;220;0.776;relu;0.231
2045;PSO;MLP;10000;220;0.776;relu;0.231
2046;PSO;MLP;10000;220;0.776;relu;0.231
2047;PSO;MLP;10000;220;0.776;relu;0.231
2048;PSO;MLP;10000;220;0.776;relu;0.231
2049;PSO;MLP;10000;220;0.776;relu;0.231
2050;PSO;MLP;10000;220;0.776;relu;0.231
2051;PSO;MLP;10000;220;0.776;relu;0.231
2052;PSO;MLP;10000;220;0.776;relu;0.231
2053;PSO;MLP;10000;220;0.776;relu;0.231
2054;PSO;MLP;10000;220;0.776;relu;0.231
2055;PSO;MLP;10000;220;0.776;relu;0.231
2056;PSO;MLP;10000;220;0.776;relu;0.231
2057;PSO;MLP;10000;220;0.776;relu;0.231
2058;PSO;MLP;10000;220;0.776;relu;0.231
2059;PSO;MLP;10000;220;0.776;relu;0.231
2060;PSO;MLP;10000;220;0.776;relu;0.231
2061;PSO;MLP;10000;220;0.776;relu;0.231
2062;PSO;MLP;10000;220;0.776;relu;0.231
2063;PSO;MLP;10000;220;0.776;relu;0.231
2064;PSO;MLP;10000;220;0.776;relu;0.231
2065;PSO;MLP;10000;220;0.776;relu;0.231
2066;PSO;MLP;10000;220;0.776;relu;0.231
2067;PSO;MLP;10000;220;0.776;relu;0.231
2068;PSO;MLP;10000;220;0.776;relu;0.231
2069;PSO;MLP;10000;220;0.776;relu;0.231
2070;PSO;MLP;10000;220;0.858;relu;0.229
2071;PSO;MLP;10000;220;0.858;relu;0.229
2072;PSO;MLP;10000;220;0.858;relu;0.229
2073;PSO;MLP;10000;220;0.858;relu;0.229
2074;PSO;MLP;10000;220;0.858;relu;0.229
2075;PSO;MLP;10000;220;0.858;relu;0.229
2076;PSO;MLP;10000;220;0.858;relu;0.229
2077;PSO;MLP;10000;220;0.858;relu;0.229
2078;PSO;MLP;10000;220;0.858;relu;0.229
2079;PSO;MLP;10000;220;0.858;relu;0.229
2080;PSO;MLP;10000;220;0.858;relu;0.229
2081;PSO;MLP;10000;220;0.858;relu;0.229
2082;PSO;MLP;10000;220;0.858;relu;0.229
2083;PSO;MLP;10000;220;0.858;relu;0.229
2084;PSO;MLP;10000;220;0.858;relu;0.229
2085;PSO;MLP;10000;220;0.858;relu;0.229
2086;PSO;MLP;10000;220;0.858;relu;0.229
2087;PSO;MLP;10000;220;0.858;relu;0.229
2088;PSO;MLP;10000;220;0.858;relu;0.229
2089;PSO;MLP;10000;220;0.858;relu;0.229
2090;PSO;MLP;10000;220;0.858;relu;0.229
2091;PSO;MLP;10000;220;0.858;relu;0.229
2092;PSO;MLP;10000;220;0.858;relu;0.229
2093;PSO;MLP;10000;220;0.858;relu;0.229
2094;PSO;MLP;10000;220;0.858;relu;0.229
2095;PSO;MLP;10000;220;0.858;relu;0.229
2096;PSO;MLP;10000;220;0.858;relu;0.229
2097;PSO;MLP;10000;220;0.858;relu;0.229
2098;PSO;MLP;10000;220;0.858;relu;0.229
2099;PSO;MLP;10000;220;0.858;relu;0.229
2100;PSO;MLP;10000;220;0.793;relu;0.228
2101;PSO;MLP;10000;220;0.793;relu;0.228
2102;PSO;MLP;10000;220;0.793;relu;0.228
2103;PSO;MLP;10000;220;0.793;relu;0.228
2104;PSO;MLP;10000;220;0.793;relu;0.228
2105;PSO;MLP;10000;220;0.793;relu;0.228
2106;PSO;MLP;10000;220;0.793;relu;0.228
2107;PSO;MLP;10000;220;0.793;relu;0.228
